scale,n_point,rmse,mape,mae
0.01,5,304.4711662888421,0.243756412817248,239.40794466741872
0.01,10,306.0859736766716,0.24582497606800882,240.90844462965183
0.01,20,308.29916174870533,0.24874240875642856,243.07289030159777
0.01,50,314.80710563073194,0.25683918401805694,249.7349797623897
0.05,5,299.25066785009733,0.2362897225818941,234.62302532506664
0.05,10,297.34015147148904,0.23277488697553778,232.90912083876358
0.05,20,296.8953559769139,0.23181704492406155,232.4604124578912
0.05,50,297.24836954943555,0.23259989592290722,232.8226851819748
0.1,5,307.96522650028976,0.25222952874215765,245.4634884022163
0.1,10,310.79718446292793,0.25637902571390436,248.9642824018903
0.1,20,308.9436309125048,0.25367742334245724,246.6472610410483
0.1,50,304.60685497628833,0.24822207620138176,242.1524530978637
0.01,5,304.4711662888421,0.243756412817248,239.40794466741872
0.01,10,306.0859736766716,0.24582497606800882,240.90844462965183
0.01,20,308.29916174870533,0.24874240875642856,243.07289030159777
0.01,50,314.80710563073194,0.25683918401805694,249.7349797623897
0.05,5,299.25066785009733,0.2362897225818941,234.62302532506664
0.05,10,297.34015147148904,0.23277488697553778,232.90912083876358
0.05,20,296.8953559769139,0.23181704492406155,232.4604124578912
0.05,50,297.24836954943555,0.23259989592290722,232.8226851819748
0.1,5,307.96522650028976,0.25222952874215765,245.4634884022163
0.1,10,310.79718446292793,0.25637902571390436,248.9642824018903
0.1,20,308.9436309125048,0.25367742334245724,246.6472610410483
0.1,50,304.60685497628833,0.24822207620138176,242.1524530978637
