p,d,q,rmse
0,0,0,306.6243127897136,0.2176102163800027
0,0,1,253.84857992367216,0.1756845445516361
0,0,2,239.98938524247052,0.16532445572416438
0,1,0,247.59476973474216,0.1607053911570791
0,1,1,224.62942709830423,0.14976108003974586
0,1,2,220.2578217513447,0.14719662899134198
0,2,0,401.03362701898214,0.2605309671252355
0,2,1,247.91062211805541,0.16093242054675222
0,2,2,224.96547621177564,0.15031202985629988
1,0,0,226.8450656205304,0.14826821726540293
1,0,1,220.66119428423235,0.14455961275921353
1,0,2,217.99083404419264,0.14427384790801795
1,1,0,235.96271697239416,0.1517592954912643
1,1,1,220.42658629781653,0.14758431675698738
1,1,2,220.57445406877954,0.14732956811293546
1,2,0,331.1237215518284,0.21385525472121342
1,2,1,236.26819797961312,0.1520935813067346
1,2,2,220.8163213072321,0.14832599296315302
2,0,0,223.66134145163943,0.14312747264871306
2,0,1,218.27796770816948,0.144358855962801
2,0,2,218.28181568094303,0.14437505264387582
2,1,0,228.10117163197583,0.15164077971635906
2,1,1,221.06255369638177,0.14733909501869719
2,1,2,221.31393730709007,0.14748887510098413
2,2,0,298.9928782948857,0.18635908928719164
2,2,1,228.3839659916246,0.15207137287928968
2,2,2,error,error
3,0,0,220.88707040705492,0.14301256524668618
3,0,1,218.65965032829158,0.14407126035110465
3,0,2,219.55785394293915,0.1446702513163179
3,1,0,224.11292385575535,0.14884844200819747
3,1,1,221.795451892019,0.14777192940004022
3,1,2,221.82385510673876,0.14769064183656166
3,2,0,274.17801582800786,0.1757813757663429
3,2,1,224.41612027741073,0.14943394189875442
3,2,2,222.20829145910258,0.14844994773054895
