server,bus1,bus2,bus3
389,35,34,32,
394,41,26,25,
387,43,66,36,
500,45,52,57,
527,36,33,28,
477,35,44,28,
386,25,28,23,
612,69,85,78,
621,63,107,61,
593,37,59,43,
552,39,38,51,
425,50,149,84,
423,19,20,12,
537,56,55,46,
532,41,44,29,
463,44,64,41,
570,40,53,23,
572,54,73,83,
601,87,106,86,
507,92,53,110,
616,123,148,61,
614,41,87,36,
470,105,85,80,
688,77,91,54,
697,68,89,62,
607,43,53,57,
625,35,82,50,
600,44,70,52,
551,49,105,95,
538,28,32,20,
662,73,64,61,
645,92,139,90,
664,54,118,90,
603,77,99,83,
522,64,82,56,
649,78,132,99,
566,86,72,86,
561,77,102,86,
686,119,126,95,
713,85,132,74,
762,167,187,168,
748,97,122,77,
709,85,58,44,
647,83,108,66,
768,95,121,88,
725,111,119,127,
786,125,186,171,
725,136,147,126,
693,97,114,114,
715,101,137,111,
537,48,89,66,
554,87,117,84,
743,130,125,136,
689,132,166,145,
841,189,187,177,
843,80,118,125,
757,78,106,87,
513,59,109,75,
587,94,146,113,
787,95,111,123,
699,130,123,152,
765,110,108,101,
639,87,87,55,
489,34,69,50,
468,22,35,7,
456,40,68,46,
641,52,77,72,
642,73,61,100,
212,8,5,3,
710,128,130,92,
802,184,182,198,
709,98,117,94,
803,153,185,131,
760,104,108,118,
767,142,209,162,
868,194,182,130,
775,153,163,205,
842,190,248,180,
865,183,220,194,
882,178,210,196,
861,147,130,160,
900,219,217,216,
847,112,170,153,
789,141,187,119,
761,116,159,122,
805,136,160,139,
774,182,202,146,
787,121,178,144,
896,98,181,149,
781,168,207,184,
706,118,131,115,
753,106,112,111,
816,126,140,108,
246,50,124,74,
610,83,104,97,
746,136,166,140,
777,124,154,129,
756,112,144,102,
763,150,189,150,
834,193,251,238,
