good,medium,bad
293,134,63
376,99,11
340,137,55
430,184,40
454,151,19
413,153,18
358,91,13
479,282,83
439,287,126
441,241,50
489,156,35
305,258,145
357,113,4
330,294,70
360,235,51
305,187,120
438,209,39
429,203,150
353,350,177
362,290,110
341,383,224
457,262,59
335,279,126
493,300,117
459,309,148
453,217,90
436,257,99
410,244,112
394,259,147
444,144,30
533,261,66
439,304,223
377,326,223
361,295,206
258,278,188
312,318,328
338,303,169
376,312,138
369,364,293
370,356,278
333,338,613
402,373,269
405,349,142
424,280,200
433,373,266
394,358,330
320,400,548
388,375,371
388,382,248
421,380,263
398,176,166
338,198,306
354,428,352
431,385,316
381,423,590
355,486,325
415,408,205
353,253,150
334,324,282
426,359,331
266,316,522
327,444,313
335,346,187
303,225,114
423,98,11
384,195,31
447,286,109
447,310,119
201,23,4
347,390,323
382,371,613
380,358,280
230,515,527
404,310,376
345,381,554
380,395,599
380,302,614
271,376,813
386,404,672
197,404,865
300,462,536
256,417,879
416,463,403
332,388,516
240,379,539
267,372,601
229,449,626
307,387,536
353,416,555
263,390,687
343,440,287
440,332,310
349,414,427
168,156,170
354,322,218
469,310,409
422,409,353
397,479,238
373,413,466
272,433,811
