number_of_server,distance,server_0,server_1,server_2,server_3,reward
1,0.43682415819079257,0.0,0.7122518494623788,0.0,0.0,1
2,0.2886688012785054,0.0,0.7122518494623788,0.5502310210665817,0.0,1
2,0.2886688012785054,0.0,0.7122518494623788,0.9693976877332484,0.0,1
2,0.2886688012785054,0.0,0.7122518494623788,1.391064354399915,0.0,0.7047224970518527
2,0.2886688012785054,0.0,0.7122518494623788,1.8135643543999151,0.0,0.39416319318962173
2,0.2886688012785054,0.0,0.7122518494623788,2.236064354399915,0.0,0.25
1,0.2886688012785054,0.0,0.6431377084040429,0.23606435439991502,0.0,1
1,0.2886688012785054,0.0,1.153137708404043,0.23606435439991502,0.0,0.8829139582610521
1,0.4255877120859568,0.0,0.7229548303179422,0.0,0.0,1
2,0.4255877120859568,0.0,0.7229548303179422,0.6376974777165408,0.0,1
1,0.2886688012785054,0.0,0.6529283039349115,0.0,0.0,1
1,0.2886688012785054,0.0,1.1749283039349114,0.0,0.0,0.8702248590698043
1,0.42109313364402245,0.0,0.7309546922512666,0.0,0.0,1
2,0.42109313364402245,0.0,0.7309546922512666,0.6477264647149787,0.0,1
1,0.2886688012785054,0.0,0.6673777290748373,0.0,0.0,1
1,0.2886688012785054,0.0,1.2043777290748374,0.0,0.0,0.855606704938294
2,0.4121039767601538,0.0,0.20437772907483742,0.6533739230327675,0.0,1
1,0.4121039767601538,0.0,0.7473777290748375,0.6533739230327675,0.0,1
1,0.4098566875391867,0.0,0.7484607794480659,0.0,0.0,1
1,0.4098566875391867,0.0,1.295460779448066,0.0,0.0,0.8058582022878084
1,0.4053621090972524,0.0,0.7494923700295193,0.0,0.0,1
1,0.4053621090972524,0.0,1.2984923700295194,0.0,0.0,0.8053421154774258
1,0.4031148198762852,0.0,0.8574923700295195,0.0,0.0,1
1,0.4031148198762852,0.0,1.4164923700295196,0.0,0.0,0.727262715035329
1,0.4031148198762852,0.0,1.9814923700295195,0.0,0.0,0.32545590686718273
1,0.4031148198762852,0.0,2.5474923700295196,0.0,0.0,0.25
1,0.3986202414343509,0.0,1.1174923700295194,0.0,0.0,0.9459012439956954
1,0.3986202414343509,0.0,1.6874923700295192,0.0,0.0,0.5457463989468792
1,0.3941256629924165,0.0,0.7696631301151652,0.0,0.0,1
1,0.3941256629924165,0.0,1.352663130115165,0.0,0.0,0.790367510848192
1,0.39187837377144946,0.0,0.941663130115165,0.0,0.0,1
1,0.39187837377144946,0.0,1.5436631301151649,0.0,0.0,0.6609951091004256
1,0.39187837377144946,0.0,2.147663130115165,0.0,0.0,0.25
