good,medium,bad
484,7,0
626,87,4
578,15,0
657,53,0
687,74,1
777,60,0
755,58,0
675,89,2
790,40,0
664,61,0
613,94,2
575,106,8
728,73,0
736,140,2
611,149,4
620,196,38
840,158,12
747,301,75
855,333,41
888,425,50
762,241,29
862,133,9
874,209,22
782,110,9
797,80,0
878,197,4
839,134,8
785,106,2
610,249,533
801,563,149
791,377,118
773,266,89
744,519,71
852,283,45
838,352,83
716,328,112
774,362,88
707,328,33
792,421,36
569,420,366
963,185,39
739,522,125
723,460,126
709,230,301
744,457,119
849,276,104
797,343,138
788,247,82
684,256,98
758,333,208
584,636,390
848,356,98
810,208,137
855,234,102
701,480,105
770,340,171
701,449,171
783,451,210
744,360,509
704,376,285
738,345,87
740,446,173
791,370,64
477,558,680
912,254,47
814,437,123
733,640,134
825,334,191
820,294,108
693,309,69
668,458,242
773,396,340
741,393,602
850,205,51
833,263,114
583,502,641
691,771,274
486,681,674
695,392,506
762,253,41
766,388,33
718,307,67
761,328,558
715,277,275
575,662,237
541,528,542
681,517,339
618,529,213
682,529,315
365,442,1193
640,425,539
779,505,278
705,458,333
643,711,350
822,320,207
853,298,61
750,325,221
530,827,387
801,334,52
858,294,90
