server,bus1,bus2,bus3
451,10,16,14,
629,28,27,33,
529,20,21,23,
636,25,28,21,
635,45,41,41,
765,26,25,21,
716,32,37,28,
688,17,39,22,
770,18,22,20,
663,19,22,21,
622,24,32,31,
603,34,30,22,
749,20,19,13,
774,31,46,27,
695,27,25,17,
743,31,34,46,
882,32,56,40,
902,71,101,49,
1076,49,69,35,
1155,53,80,75,
887,58,51,36,
880,38,47,39,
960,37,62,46,
794,34,35,38,
785,33,29,30,
947,43,52,37,
883,33,36,29,
819,20,30,24,
1031,114,131,116,
1204,95,117,97,
1058,67,87,74,
960,44,82,42,
1099,61,105,69,
995,47,75,63,
1060,78,77,58,
955,59,85,57,
997,57,89,81,
923,36,54,55,
1073,65,61,50,
996,116,132,111,
1041,43,58,45,
1134,67,104,81,
1079,70,93,67,
960,89,102,89,
1090,79,99,52,
1033,57,75,64,
1053,72,78,75,
929,54,69,65,
862,56,63,57,
1044,79,88,88,
1224,136,140,110,
1092,68,79,63,
960,65,71,59,
1007,52,66,66,
1046,82,110,48,
1060,66,72,83,
1077,83,86,75,
1132,91,134,87,
1153,145,164,151,
1089,89,105,82,
984,71,74,41,
1091,100,84,84,
1073,52,53,47,
1213,152,185,165,
1043,56,66,48,
1087,100,89,98,
1232,86,95,94,
1087,72,102,89,
981,85,89,67,
837,59,93,82,
1041,97,153,77,
1174,116,123,96,
1242,152,179,163,
965,46,47,48,
990,53,88,79,
1240,154,189,143,
1289,129,151,167,
1291,168,195,187,
1194,139,146,114,
889,47,67,53,
1027,33,71,56,
901,56,72,63,
1162,155,170,160,
995,88,87,97,
1170,102,111,91,
1202,120,152,137,
1233,102,101,101,
1115,80,90,75,
1191,104,120,111,
1319,210,260,211,
1168,143,165,128,
1190,105,146,121,
1172,105,113,106,
1265,133,183,123,
1127,71,71,80,
1010,60,77,65,
1041,73,95,87,
1289,148,179,128,
995,56,62,74,
1012,81,74,75,
