server,bus1,bus2,bus3
337,27,16,20,
120,7,3,54,
212,9,33,18,
232,22,55,19,
280,56,110,20,
259,37,71,43,
140,47,51,42,
201,21,43,41,
192,35,63,38,
224,36,45,37,
165,41,55,35,
157,19,29,37,
131,11,29,13,
242,14,30,18,
165,20,23,12,
225,15,26,22,
251,45,40,44,
289,56,41,58,
312,32,25,39,
285,38,45,30,
219,50,31,34,
248,66,66,38,
225,73,49,37,
243,90,62,35,
254,42,52,30,
383,69,85,43,
337,52,53,44,
276,56,53,37,
260,65,63,44,
293,66,50,49,
331,81,66,50,
374,67,74,63,
324,37,48,57,
361,65,52,80,
470,71,59,80,
398,40,31,57,
470,69,66,69,
442,77,70,51,
459,61,92,40,
493,77,45,53,
447,90,59,112,
358,57,42,43,
353,47,54,44,
354,42,56,36,
297,56,51,46,
338,78,74,58,
279,69,58,64,
335,72,85,68,
319,64,77,60,
324,64,66,66,
330,64,68,84,
313,58,62,81,
374,84,73,93,
514,100,95,101,
246,55,61,34,
14,2,0,4,
1,1,0,0,
266,52,46,56,
368,73,91,72,
393,58,65,46,
393,44,87,56,
401,37,73,39,
338,32,52,20,
430,44,59,31,
357,69,108,44,
304,72,94,46,
284,31,35,30,
245,55,74,24,
228,35,63,28,
384,83,77,66,
387,104,98,53,
379,61,70,48,
344,45,51,58,
347,64,53,58,
308,41,53,66,
355,78,84,71,
225,67,57,71,
248,53,53,48,
207,57,66,58,
400,51,42,53,
380,120,66,58,
250,108,103,73,
348,78,53,95,
489,79,53,81,
414,40,51,31,
355,28,41,22,
326,29,41,30,
415,34,37,26,
396,37,71,72,
314,67,66,55,
352,55,74,55,
316,45,77,78,
411,40,68,55,
359,76,102,81,
448,74,119,89,
306,95,77,94,
259,54,64,51,
334,47,100,57,
237,43,71,49,
