good,medium,bad
333,62,5
182,2,0
263,9,0
295,32,1
430,36,0
369,41,0
259,21,0
248,58,0
280,48,0
297,45,0
269,27,0
204,38,0
152,32,0
253,51,0
170,50,0
213,73,2
325,55,0
396,47,1
364,44,0
333,64,1
302,32,0
383,34,1
357,27,0
388,41,1
348,30,0
445,128,7
431,55,0
328,86,8
401,29,2
383,75,0
473,53,2
465,104,9
384,81,1
481,73,4
504,167,9
374,143,9
436,227,11
396,222,22
435,192,25
438,216,14
567,128,13
392,102,6
424,74,0
423,65,0
407,42,1
464,77,7
432,37,1
505,53,2
462,56,2
427,88,5
494,49,3
450,61,3
569,54,1
651,146,13
364,31,1
18,2,0
1,1,0
378,41,1
532,70,2
410,122,30
388,179,13
424,124,2
348,94,0
425,131,8
522,53,3
443,61,12
339,38,3
322,74,2
321,33,0
497,111,2
533,79,30
468,89,1
437,51,10
434,87,1
378,77,13
532,54,2
392,28,0
364,37,1
360,28,0
465,74,7
464,85,75
317,84,133
507,64,3
529,167,6
378,154,4
324,118,4
311,114,1
370,135,7
494,80,2
444,58,0
444,92,0
447,68,1
452,120,2
543,66,9
626,102,2
542,30,0
406,20,2
474,62,2
367,33,0
