server,bus1,bus2,bus3
249,137,191,173,
234,118,137,58,
539,83,127,34,
440,71,104,21,
340,92,116,43,
517,94,130,65,
348,116,137,94,
388,51,74,50,
513,116,150,94,
566,93,141,110,
535,101,179,132,
386,57,110,62,
603,62,113,63,
611,61,119,46,
673,78,143,98,
671,84,78,86,
468,77,153,81,
450,79,164,123,
557,98,152,93,
579,98,121,104,
560,106,171,124,
452,128,165,138,
591,163,176,161,
471,100,157,106,
523,111,163,129,
473,80,135,121,
621,118,157,139,
617,148,172,130,
597,112,196,122,
619,139,170,173,
632,123,168,128,
574,121,178,145,
698,138,194,152,
601,151,185,158,
612,101,133,140,
768,229,204,157,
756,157,197,142,
639,97,166,103,
655,106,162,101,
693,110,192,104,
571,146,221,181,
682,166,198,148,
800,207,248,156,
734,177,241,197,
818,211,231,197,
737,197,223,172,
813,312,271,217,
748,217,260,230,
708,156,218,194,
675,113,229,130,
663,141,214,123,
722,157,194,179,
653,192,193,164,
563,172,168,133,
705,330,253,170,
867,119,301,250,
762,157,180,151,
771,192,264,211,
779,206,282,205,
740,148,171,130,
633,114,236,101,
776,163,207,216,
713,143,190,115,
743,115,188,132,
747,177,259,184,
727,194,283,175,
863,176,180,144,
699,212,193,146,
789,170,199,147,
697,187,233,148,
663,246,208,194,
821,243,205,163,
816,143,210,165,
655,141,175,121,
700,212,210,170,
795,198,217,181,
826,217,285,226,
679,139,212,152,
609,166,232,227,
722,201,254,149,
708,156,239,190,
728,138,223,218,
697,177,256,140,
784,154,213,246,
806,148,210,116,
823,131,256,129,
818,79,172,115,
870,137,291,160,
885,153,152,256,
848,217,256,186,
761,210,249,227,
802,202,266,167,
828,155,215,150,
556,131,216,138,
718,160,256,153,
752,285,320,178,
897,144,306,284,
679,142,181,148,
678,146,285,202,
