good,medium,bad
395,251,104
480,55,12
703,79,1
578,58,0
559,32,0
658,147,1
633,62,0
508,55,0
614,210,49
661,192,57
789,156,2
476,134,5
570,254,17
571,251,15
477,344,171
548,231,140
610,122,47
717,77,22
661,204,35
681,218,3
753,204,4
728,116,39
670,261,160
706,126,2
817,108,1
663,145,1
715,283,37
518,314,235
670,264,93
663,278,160
794,225,32
775,192,51
676,396,110
759,280,56
710,273,3
468,578,312
578,579,95
585,401,19
558,437,29
618,419,62
750,200,169
624,443,127
647,612,152
668,386,295
605,382,470
753,478,98
822,582,209
491,692,272
630,464,182
816,271,60
807,222,112
762,433,57
749,333,120
768,232,36
712,398,348
411,572,554
648,478,124
637,449,352
756,501,215
631,433,125
590,352,142
499,406,457
561,542,58
506,524,148
727,408,232
904,317,158
627,626,110
703,372,175
732,493,80
733,439,93
784,336,191
635,532,265
676,443,215
804,260,28
725,312,255
560,525,306
651,719,184
861,286,35
685,364,185
679,510,137
691,420,182
662,434,211
867,323,80
564,451,382
461,533,286
443,550,346
397,581,206
467,618,373
667,482,297
361,469,677
459,526,462
665,636,136
719,493,136
768,238,35
693,418,176
844,345,346
304,810,517
773,291,86
745,257,309
