good,medium,bad
386,14,0
151,11,22
258,13,1
285,43,0
453,13,0
396,14,0
273,7,0
280,26,0
303,25,0
317,25,0
284,12,0
222,20,0
170,14,0
283,21,0
185,35,0
251,37,0
354,26,0
417,27,0
395,13,0
368,30,0
314,20,0
403,15,0
372,12,0
411,19,0
348,30,0
505,74,1
443,41,2
359,62,1
415,17,0
436,22,0
510,18,0
518,60,0
427,39,0
527,31,0
604,76,0
451,74,1
542,132,0
529,109,2
565,87,0
583,84,1
629,75,4
456,44,0
461,37,0
461,27,0
422,28,0
516,32,0
439,31,0
526,33,1
488,32,0
472,48,0
519,27,0
475,38,1
596,28,0
738,69,3
372,24,0
19,1,0
2,0,0
391,29,0
564,39,1
442,102,18
480,99,1
506,44,0
395,47,0
494,69,1
554,23,1
463,51,2
345,34,1
356,42,0
335,19,0
551,57,2
584,55,3
486,71,1
444,54,0
475,47,0
422,45,1
558,29,1
404,16,0
389,13,0
382,6,0
503,43,0
529,65,30
489,44,1
538,34,2
633,68,1
439,96,1
373,73,0
384,42,0
468,44,0
519,54,3
471,31,0
504,32,0
474,42,0
520,54,0
566,50,2
679,51,0
562,10,0
412,16,0
500,36,2
378,21,1
