server,bus1,bus2,bus3
375,12,13,0,
135,37,12,0,
211,25,36,0,
238,49,41,0,
326,52,88,0,
304,38,68,0,
189,37,54,0,
237,17,52,0,
251,31,46,0,
258,28,56,0,
199,37,60,0,
184,19,39,0,
153,7,24,0,
268,5,31,0,
187,11,22,0,
251,12,25,0,
265,54,61,0,
303,62,79,0,
324,37,47,0,
315,36,47,0,
235,44,55,0,
244,73,101,0,
238,67,79,0,
261,78,91,0,
270,63,45,0,
448,72,60,0,
350,70,66,0,
329,45,48,0,
288,59,85,0,
353,39,66,0,
395,54,79,0,
422,64,92,0,
352,45,69,0,
368,89,101,0,
514,56,110,0,
453,30,43,0,
555,45,74,0,
524,48,68,0,
549,34,69,0,
553,37,78,0,
431,113,164,0,
394,42,64,0,
375,54,69,0,
324,82,82,0,
306,62,82,0,
369,69,110,0,
263,94,113,0,
385,75,100,0,
329,91,100,0,
358,75,87,0,
369,78,99,0,
326,96,92,0,
357,130,137,0,
535,127,148,0,
257,61,78,0,
14,2,4,0,
1,0,1,0,
288,56,76,0,
407,84,113,0,
432,46,84,0,
481,24,75,0,
455,26,69,0,
374,20,48,0,
499,23,42,0,
394,73,111,0,
344,78,94,0,
275,46,59,0,
278,54,66,0,
262,48,44,0,
442,74,94,0,
428,102,112,0,
378,91,89,0,
374,63,61,0,
382,67,73,0,
347,55,66,0,
430,69,89,0,
285,49,86,0,
291,40,71,0,
265,44,79,0,
432,34,80,0,
468,60,96,0,
398,58,78,0,
387,93,94,0,
540,72,90,0,
443,30,63,0,
387,23,36,0,
390,14,22,0,
477,21,14,0,
434,63,79,0,
352,69,81,0,
422,40,74,0,
362,61,93,0,
496,29,49,0,
445,76,97,0,
537,50,143,0,
394,72,106,0,
297,49,82,0,
382,48,108,0,
287,41,72,0,
