good,medium,bad
378,101,11
205,176,105
179,145,208
190,227,237
435,156,33
174,237,173
155,141,166
149,287,408
402,302,148
432,246,54
483,159,38
305,258,145
357,113,4
330,294,70
360,235,51
305,187,120
438,209,39
429,203,150
353,350,177
362,290,110
341,383,224
457,262,59
335,279,126
493,300,117
459,309,148
453,217,90
436,257,99
410,244,112
394,259,147
444,144,30
533,261,66
439,304,223
377,326,223
361,295,206
258,278,188
312,318,328
338,303,169
376,312,138
369,364,293
370,356,278
333,338,613
656,324,64
418,358,120
434,279,191
433,373,266
394,358,330
320,400,548
798,288,48
393,369,256
375,419,270
390,176,174
344,201,297
354,428,352
431,385,316
381,423,590
801,305,60
750,239,39
388,246,122
347,308,285
426,359,331
551,446,107
399,455,230
336,364,168
334,219,89
417,101,14
389,193,28
429,290,123
443,317,116
201,23,4
74,151,835
381,380,605
707,230,81
291,460,521
414,295,381
355,396,529
773,372,229
711,346,239
717,560,183
813,354,295
729,505,232
802,407,89
701,525,326
902,255,125
696,472,68
635,466,57
591,501,148
710,503,91
649,394,187
764,357,203
677,507,156
730,292,48
740,260,82
688,414,88
309,135,50
366,342,186
476,327,385
746,358,80
873,217,24
412,390,450
285,422,809
