number_of_server,distance,server_0,server_1,server_2,server_3,reward
0,0,0.3333333333333333,0.0,0.0,0.0,1.0
0,0,0.6679999999999999,0.0,0.0,0.0,1.0
0,0,1.0033333333333332,0.0,0.0,0.0,1.0
3,0.4789253018112047,1.0033333333333332,0.0,0.0,0.7515209889929231,1.0
0,0,1.3413333333333333,0.0,0.0,0.7515209889929231,0.7708782545808295
2,0.2886688012785054,1.3413333333333333,0.0,0.5566377084040429,0.7515209889929231,1.0
0,0,0.3393333333333333,0.0,0.0,0.0,1.0
0,0,0.6793333333333333,0.0,0.0,0.0,1.0
0,0,0.3426666666666667,0.0,0.0,0.0,1.0
0,0,0.6853333333333333,0.0,0.0,0.0,1.0
0,0,0.3453333333333333,0.0,0.0,0.0,1.0
0,0,0.6933333333333334,0.0,0.0,0.0,1.0
0,0,0.3486666666666667,0.0,0.0,0.0,1.0
0,0,0.7,0.0,0.0,0.0,1.0
3,0.45285654076471255,0.0,0.0,0.0,0.7624516994752127,1.0
0,0,0.35800000000000004,0.0,0.0,0.7624516994752127,1.0
0,0,0.36000000000000004,0.0,0.0,0.0,1.0
3,0.4502496646600633,0.36000000000000004,0.0,0.0,0.7740437727683124,1.0
0,0,0.36333333333333334,0.0,0.0,0.0,1.0
0,0,0.728,0.0,0.0,0.0,1.0
1,0.4424290363461157,0.0,0.7751781939007691,0.0,0.0,1.0
0,0,0.36600000000000005,0.7751781939007691,0.0,0.0,1.0
0,0,0.3726666666666667,0.0,0.0,0.0,1.0
0,0,0.7453333333333334,0.0,0.0,0.0,1.0
0,0,1.122,0.0,0.0,0.0,0.9546930307726619
0,0,1.4993333333333334,0.0,0.0,0.0,0.7052741600767551
2,0.434608408032168,0.0,0.0,0.6992170623666087,0.0,1.0
0,0,0.37999999999999995,0.0,0.6992170623666087,0.0,1.0
0,0,0.3813333333333333,0.0,0.0,0.0,1.0
0,0,0.77,0.0,0.0,0.0,1.0
0,0,0.39266666666666666,0.0,0.0,0.0,1.0
0,0,0.794,0.0,0.0,0.0,1.0
