number_of_server,distance,server_0,server_1,server_2,server_3,reward
2,0.2886688012785054,0.0,0.0,0.5484325884781037,0.0,0.87625
0,0,0.16733333333333333,0.0,0.5484325884781037,0.0,0.87625
2,0.2886688012785054,0.16733333333333333,0.0,0.9675992551447704,0.0,0.87625
2,0.2886688012785054,0.16733333333333333,0.0,1.3892659218114372,0.0,0.5823110741322592
2,0.2886688012785054,0.16733333333333333,0.0,1.8117659218114373,0.0,0.2717479227968558
2,0.2886688012785054,0.16733333333333333,0.0,2.234265921811437,0.0,0.12625
2,0.2886688012785054,0.0,0.0,0.6584325884781038,0.0,0.87625
2,0.2886688012785054,0.0,0.0,1.0834325884781038,0.0,0.816286128466031
2,0.2886688012785054,0.0,0.0,0.5628663395028105,0.0,0.87625
2,0.2886688012785054,0.0,0.0,0.9911996728361439,0.0,0.87625
2,0.2886688012785054,0.0,0.0,0.5665949706015783,0.0,0.87625
2,0.2886688012785054,0.0,0.0,1.0015949706015783,0.0,0.87625
2,0.2886688012785054,0.0,0.0,0.5716839987209249,0.0,0.87625
2,0.2886688012785054,0.0,0.0,1.0108506653875917,0.0,0.8752243732209988
1,0.2886688012785054,0.0,0.6673777290748373,0.0,0.0,0.87625
2,0.2886688012785054,0.0,0.6673777290748373,0.5840094949966488,0.0,0.87625
2,0.2886688012785054,0.0,0.0,0.5867730268402717,0.0,0.87625
2,0.2886688012785054,0.0,0.0,1.0392730268402717,0.0,0.8650279556046931
2,0.2886688012785054,0.0,0.0,0.5919938208814298,0.0,0.87625
2,0.2886688012785054,0.0,0.0,1.0478271542147632,0.0,0.8644180343266993
2,0.2886688012785054,0.0,0.0,0.595152650490487,0.0,0.87625
2,0.2886688012785054,0.0,0.0,1.0526526504904872,0.0,0.862127071278769
2,0.2886688012785054,0.0,0.0,0.6048463808443995,0.0,0.87625
0,0,0.18633333333333335,0.0,0.6048463808443995,0.0,0.87625
2,0.2886688012785054,0.18633333333333335,0.0,1.0756797141777328,0.0,0.8506391940076038
2,0.2886688012785054,0.18633333333333335,0.0,1.5473463808443995,0.0,0.5163209683273722
2,0.2886688012785054,0.0,0.0,0.615198940807369,0.0,0.87625
2,0.2886688012785054,0.0,0.0,1.090198940807369,0.0,0.8473372997275596
2,0.2886688012785054,0.0,0.0,0.6175244370830928,0.0,0.87625
2,0.2886688012785054,0.0,0.0,1.1033577704164261,0.0,0.8448130800542574
2,0.2886688012785054,0.0,0.0,0.6326134652024396,0.0,0.87625
2,0.2886688012785054,0.0,0.0,1.1342801318691063,0.0,0.8261741985809781
2,0.2886688012785054,0.0,0.0,1.6376134652024397,0.0,0.47787304621952387
2,0.2886688012785054,0.0,0.0,2.140946798535773,0.0,0.13219132540020054
2,0.2886688012785054,0.0,0.0,2.6451134652024395,0.0,0.12625
2,0.2886688012785054,0.0,0.0,3.1501134652024394,0.0,0.12625
2,0.2886688012785054,0.0,0.0,0.6491946562641768,0.0,0.87625
2,0.2886688012785054,0.0,0.0,1.1550279895975102,0.0,0.8184952138617976
2,0.2886688012785054,0.0,0.0,0.6608613229308435,0.0,0.87625
2,0.2886688012785054,0.0,0.0,1.1675279895975104,0.0,0.8105766329120339
2,0.2886688012785054,0.0,0.0,0.6750279895975104,0.0,0.87625
1,0.2886688012785054,0.0,0.7543378117580151,0.6750279895975104,0.0,0.87625
0,0,0.20333333333333334,0.7543378117580151,0.6750279895975104,0.0,0.87625
2,0.2886688012785054,0.20333333333333334,0.7543378117580151,1.1900279895975103,0.0,0.7971407659406549
2,0.2886688012785054,0.0,0.0,0.7050279895975103,0.0,0.87625
2,0.2886688012785054,0.0,0.0,1.2250279895975105,0.0,0.7762133074002572
3,0.2886688012785054,0.0,0.0,0.22502798959751047,0.7785001938814895,0.87625
2,0.2886688012785054,0.0,0.0,0.7508613229308438,0.7785001938814895,0.87625
2,0.2886688012785054,0.0,0.0,0.6776241227456915,0.0,0.87625
2,0.2886688012785054,0.0,0.0,1.2109574560790248,0.0,0.7902680397406616
2,0.2886688012785054,0.0,0.0,0.690740214552284,0.0,0.87625
2,0.2886688012785054,0.0,0.0,1.2324068812189508,0.0,0.7801219347621645
2,0.2886688012785054,0.0,0.0,1.7807402145522842,0.0,0.4103811479263638
2,0.2886688012785054,0.0,0.0,2.3340735478856174,0.0,0.12625
2,0.2886688012785054,0.0,0.0,2.8890735478856175,0.0,0.12625
0,0,0.22266666666666668,0.0,2.8890735478856175,0.0,0.87625
1,0.36943650541593764,0.0,0.8689516710518248,0.8890735478856175,0.0,0.87625
0,0,0.225,0.8689516710518248,0.8890735478856175,0.0,0.87625
2,0.3303333638461994,0.0,0.0,0.7380732655578184,0.0,0.87625
2,0.3303333638461994,0.0,0.0,1.3064065988911517,0.0,0.7413711752466441
2,0.2886688012785054,0.0,0.0,0.7234182707909775,0.0,0.87625
2,0.2886688012785054,0.0,0.0,1.2950849374576443,0.0,0.7535318390790613
0,0,0.22866666666666668,0.0,1.2950849374576443,0.0,0.87625
0,0,0.45866666666666667,0.0,1.2950849374576443,0.0,0.87625
2,0.3094783550090056,0.0,0.0,0.7400297904785188,0.0,0.87625
2,0.3094783550090056,0.0,0.0,1.3150297904785186,0.0,0.7476738555731735
2,0.2886688012785054,0.0,0.0,0.900863123811852,0.0,0.87625
2,0.2886688012785054,0.0,0.0,1.4866964571451853,0.0,0.6369858801044511
0,0,0.23466666666666666,0.0,1.4866964571451853,0.0,0.87625
0,0,0.4693333333333333,0.0,1.4866964571451853,0.0,0.87625
0,0,0.7056666666666667,0.0,1.4866964571451853,0.0,0.87625
0,0,0.9446666666666667,0.0,1.4866964571451853,0.0,0.87625
0,0,1.1846666666666668,0.0,1.4866964571451853,0.0,0.8556083943392918
0,0,1.4253333333333333,0.0,1.4866964571451853,0.0,0.6996521462492997
0,0,1.6673333333333333,0.0,1.4866964571451853,0.0,0.5432119779648241
0,0,1.9103333333333334,0.0,1.4866964571451853,0.0,0.39173668444949694
0,0,1.1540000000000001,0.0,0.4866964571451853,0.0,0.87625
0,0,1.3980000000000001,0.0,0.4866964571451853,0.0,0.7230302988194981
0,0,1.6446666666666667,0.0,0.4866964571451853,0.0,0.5647107346998851
0,0,1.8916666666666666,0.0,0.4866964571451853,0.0,0.4070695696687423
0,0,1.1396666666666666,0.0,0.0,0.0,0.87625
0,0,1.3876666666666666,0.0,0.0,0.0,0.7338999140089065
0,0,0.24866666666666667,0.0,0.0,0.0,0.87625
1,0.29383709838111033,0.24866666666666667,0.9149332149851935,0.0,0.0,0.87625
0,0,0.5003333333333333,0.9149332149851935,0.0,0.0,0.87625
0,0,0.752,0.9149332149851935,0.0,0.0,0.87625
0,0,0.252,0.0,0.0,0.0,0.87625
0,0,0.5056666666666667,0.0,0.0,0.0,0.87625
0,0,0.25433333333333336,0.0,0.0,0.0,0.87625
0,0,0.5096666666666667,0.0,0.0,0.0,0.87625
0,0,0.25533333333333336,0.0,0.0,0.0,0.87625
0,0,0.511,0.0,0.0,0.0,0.87625
