good,medium,bad
387,13,0
183,1,0
267,5,0
312,16,0
439,27,0
401,9,0
273,7,0
304,2,0
324,4,0
336,6,0
290,6,0
240,2,0
184,0,0
304,0,0
209,11,0
280,8,0
354,25,1
419,25,0
401,7,0
369,29,0
322,12,0
399,19,0
374,10,0
412,18,0
372,6,0
497,49,34
480,6,0
378,35,9
406,26,0
438,20,0
509,19,0
483,76,19
454,12,0
501,57,0
593,79,8
473,48,5
545,105,24
482,115,43
515,85,52
557,89,22
562,84,62
471,21,8
491,7,0
475,13,0
429,20,1
495,53,0
449,21,0
518,37,5
489,31,0
436,71,13
483,42,21
449,62,3
518,100,6
648,126,36
370,20,6
20,0,0
2,0,0
375,44,1
563,41,0
471,31,60
463,56,61
528,22,0
429,13,0
524,37,3
538,39,1
428,67,21
359,17,4
338,56,4
337,17,0
506,97,7
523,53,66
514,44,0
464,24,10
469,52,1
397,26,45
512,59,17
404,16,0
384,18,0
368,20,0
501,41,4
483,55,86
438,45,51
512,60,2
587,106,9
485,50,1
411,30,5
409,17,0
475,37,0
537,37,2
457,44,1
492,43,1
472,41,3
498,65,11
546,40,32
608,94,28
550,20,2
415,13,0
485,48,5
392,8,0
