good,medium,bad
433,56,1
471,14,1
479,50,3
611,40,3
592,32,0
540,43,1
450,12,0
762,82,0
719,128,5
675,57,0
626,52,2
574,130,4
445,28,1
587,105,2
571,72,3
477,99,36
658,28,0
632,65,85
755,111,14
657,99,6
811,123,14
742,35,1
634,99,7
803,96,11
788,103,25
666,85,9
678,110,4
668,97,1
687,72,41
554,58,6
795,64,1
791,153,22
760,145,21
686,116,60
554,164,6
620,242,96
668,127,15
703,115,8
772,224,30
764,196,44
842,284,158
718,245,81
779,106,11
697,160,47
845,160,67
802,189,91
881,254,133
923,150,61
813,167,38
885,168,11
552,63,125
577,105,160
965,140,29
863,147,122
870,304,220
874,261,31
828,168,32
618,113,25
659,171,110
766,142,208
673,320,111
835,239,10
693,150,25
524,112,6
522,10,0
587,23,0
713,124,5
771,95,10
222,6,0
792,224,44
886,310,170
768,99,151
928,302,42
698,143,249
847,238,195
864,283,227
720,134,442
812,436,212
905,142,415
735,339,392
900,305,93
810,360,382
959,145,178
832,355,49
735,385,38
719,396,125
829,422,53
704,265,261
790,294,240
821,395,124
854,183,33
796,151,135
779,303,108
389,84,21
707,114,73
878,235,75
896,206,82
966,144,4
881,197,174
917,307,292
