server,bus1,bus2,bus3
392,73,25,0,
357,122,7,0,
406,103,23,0,
536,99,19,0,
470,135,19,0,
478,86,20,0,
334,111,17,0,
735,74,35,0,
672,138,42,0,
636,71,25,0,
526,130,24,0,
570,100,38,0,
445,18,11,0,
621,34,39,0,
595,28,23,0,
549,35,28,0,
577,84,25,0,
610,130,42,0,
725,100,55,0,
622,107,33,0,
763,132,53,0,
645,106,27,0,
587,112,41,0,
716,156,38,0,
740,126,50,0,
621,104,35,0,
645,111,36,0,
614,120,32,0,
595,162,43,0,
516,81,21,0,
684,135,41,0,
805,96,65,0,
809,61,56,0,
703,96,63,0,
574,102,48,0,
810,74,74,0,
718,46,46,0,
751,37,38,0,
885,67,74,0,
882,60,62,0,
962,195,127,0,
848,122,74,0,
756,98,42,0,
694,152,58,0,
921,86,65,0,
839,160,83,0,
950,208,110,0,
900,161,73,0,
812,145,61,0,
843,151,70,0,
576,115,49,0,
639,128,75,0,
874,187,73,0,
868,188,76,0,
1063,192,139,0,
935,156,75,0,
825,141,62,0,
624,80,52,0,
705,160,75,0,
908,127,81,0,
901,103,100,0,
942,67,75,0,
762,53,53,0,
575,34,33,0,
416,105,11,0,
488,104,18,0,
704,97,41,0,
725,115,36,0,
218,8,2,0,
818,161,81,0,
1019,223,124,0,
814,142,62,0,
1018,158,96,0,
831,174,85,0,
1005,179,96,0,
1041,200,133,0,
920,239,137,0,
1112,207,141,0,
1070,243,149,0,
1098,211,157,0,
1029,151,118,0,
1209,163,180,0,
973,202,107,0,
993,134,109,0,
966,95,97,0,
1036,93,111,0,
1101,100,103,0,
1033,93,104,0,
1059,139,126,0,
1002,206,132,0,
878,126,66,0,
876,125,81,0,
980,104,106,0,
390,76,28,0,
711,106,77,0,
882,215,91,0,
912,184,88,0,
921,124,69,0,
979,165,108,0,
1117,224,175,0,
