good,medium,bad
561,137,52
506,36,5
744,39,0
595,41,0
574,17,0
679,127,0
666,29,0
503,60,0
717,142,14
755,124,31
889,58,0
533,72,10
679,149,13
698,135,4
665,236,91
659,147,113
552,97,130
717,86,13
714,147,39
791,110,1
856,104,1
756,88,39
818,122,151
776,53,5
837,86,3
689,110,10
893,140,2
747,195,125
892,125,10
771,230,100
908,134,9
870,114,34
896,247,39
926,156,13
869,106,11
803,364,191
823,368,61
797,204,4
778,244,2
873,213,13
853,148,118
637,296,261
970,390,51
996,332,21
908,323,226
959,292,78
1082,301,230
831,463,161
920,310,46
981,154,12
911,182,48
1052,185,15
980,184,38
940,94,2
951,118,389
488,317,732
947,260,43
958,368,112
1107,244,121
923,249,17
711,302,71
596,184,582
909,215,37
814,345,19
1127,236,4
1033,188,158
1075,281,7
993,225,32
1090,198,17
996,252,17
983,228,100
1018,379,35
1067,264,3
983,107,2
820,353,119
817,412,162
1188,321,45
1093,88,1
944,242,48
1076,195,55
896,257,140
921,289,97
1078,179,13
904,412,81
873,341,66
760,347,232
755,349,80
768,517,173
963,278,205
987,407,113
884,502,61
1198,230,9
996,307,45
922,107,12
982,253,52
1026,285,224
1063,413,155
963,152,35
840,152,319
981,381,169
