server,bus1,bus2,bus3
535,103,58,54,
405,54,16,72,
543,72,29,139,
423,54,18,141,
344,77,22,148,
569,76,30,131,
403,106,32,154,
408,58,25,72,
630,99,27,117,
704,79,51,76,
654,115,54,124,
430,62,53,70,
714,50,36,41,
725,44,28,40,
844,57,25,66,
772,71,22,54,
465,117,45,152,
553,83,68,112,
631,62,98,109,
696,65,54,87,
705,100,64,92,
577,109,76,121,
770,133,73,115,
582,113,38,101,
661,111,36,118,
610,76,39,84,
807,102,27,99,
799,115,19,134,
717,119,19,172,
818,115,39,129,
737,115,77,122,
763,84,69,102,
950,80,60,92,
793,135,53,114,
744,91,55,96,
1029,125,135,69,
988,87,100,77,
811,78,77,39,
823,65,87,49,
887,66,90,56,
745,143,128,103,
757,109,200,128,
1068,136,102,105,
954,142,126,127,
1063,138,69,187,
945,153,183,48,
1113,177,166,157,
985,183,148,139,
885,135,113,143,
767,159,148,73,
779,145,107,110,
861,130,150,111,
771,126,149,156,
790,90,94,62,
772,293,225,168,
1212,156,125,44,
895,96,163,96,
987,165,202,84,
982,173,193,124,
862,104,144,79,
828,78,102,76,
1008,115,151,88,
943,70,87,61,
911,79,116,72,
930,120,185,132,
871,171,207,130,
985,107,150,121,
833,141,157,119,
910,111,170,114,
853,133,148,131,
828,194,171,118,
992,129,171,140,
916,114,159,145,
762,79,133,118,
800,141,204,147,
935,117,195,144,
987,169,230,168,
840,95,149,98,
752,173,183,126,
896,154,172,104,
892,112,183,106,
900,101,193,113,
838,141,149,142,
950,142,176,129,
1020,79,109,72,
1061,88,92,98,
895,98,89,102,
1096,133,135,94,
1039,166,119,122,
1052,146,166,143,
988,155,157,147,
1022,140,155,120,
1028,90,149,81,
691,117,125,108,
837,149,166,135,
879,263,223,170,
1096,176,210,149,
733,107,181,129,
794,203,194,120,
1062,154,180,135,
