good,medium,bad
329,61,10
180,4,0
267,5,0
303,25,0
441,25,0
364,46,0
273,7,0
248,58,0
277,50,1
285,56,1
274,22,0
207,35,0
139,45,0
222,82,0
139,79,2
212,75,1
344,35,1
414,30,0
377,31,0
335,63,0
304,30,0
387,31,0
356,28,0
383,47,0
357,21,0
490,90,0
438,46,2
355,67,0
403,29,0
405,53,0
481,47,0
500,78,0
407,59,0
524,34,0
570,109,1
443,83,0
561,112,1
517,121,2
544,108,0
568,99,1
654,54,0
444,56,0
460,37,1
452,36,0
424,26,0
508,40,0
449,21,0
531,29,0
476,44,0
459,60,1
514,32,0
474,39,1
605,19,0
736,73,1
376,20,0
17,3,0
2,0,0
400,20,0
560,44,0
422,139,1
462,118,0
482,68,0
364,78,0
484,80,0
555,23,0
478,34,4
353,26,1
358,40,0
328,26,0
573,37,0
604,37,1
491,65,2
436,60,2
468,51,3
413,52,3
557,30,1
407,13,0
378,24,0
374,14,0
497,49,0
539,56,29
467,67,0
546,27,1
612,90,0
431,102,3
350,96,0
370,55,1
435,75,2
536,37,3
472,29,1
488,48,0
469,47,0
495,79,0
560,57,1
673,56,1
552,20,0
413,15,0
485,53,0
373,27,0
