total_reward,mean_reward,request_count
1019.424760137636,0.9868584318854172,632
975.7263449581908,0.912746814741058,859
1022.5042078069484,0.9556114091653722,772
1031.41030725056,0.9550095437505184,769
1053.822281546594,0.9904344751377764,663
1048.337197572346,0.9478636506079078,600
955.7357198165538,0.928800505166719,457
1024.389679208684,0.9511510484760296,657
1076.0001997820182,0.9880626260624592,820
1027.6077723150825,0.9550258107017496,745
1006.7843302615036,0.8870346522127784,744
965.8045758415988,0.8868728887434333,748
988.4834312706312,0.9203756343301968,495
982.9543754521942,0.927315448539806,509
940.454154484512,0.8427008552728602,488
947.7425033899316,0.8857406573737678,546
1012.994118379854,0.9467234751213588,559
1073.8030189834628,0.9544915724297448,484
991.10932537286,0.8671122706674191,525
1026.3823636702557,0.9271746735955334,673
1037.5030579149552,0.966017744799772,582
1063.4228980919488,0.9369364740898228,394
944.5694171670796,0.8673732021736268,518
1074.5874755165837,0.936051807941275,528
1005.3655482187372,0.9016731374159078,596
855.0961743380813,0.80290720595125,627
948.272446614843,0.84591654470548,513
993.186918742674,0.8955698095064689,494
1027.4342801154644,0.9711099055911762,629
1044.6554542204956,0.9601612630703084,421
1090.992370944333,0.9122009790504456,583
1071.128506149209,0.945391444085798,485
1067.7593723927712,0.9786978665378288,485
1100.7448030433816,0.9758375913505156,579
1046.1488515272224,0.9731617223509046,658
1034.1065285115455,0.983926287832108,402
960.7410634966336,0.91586374022558,499
1048.3723403424349,0.9496126271217707,432
1030.1076859831503,0.8980886538649961,439
919.6295759902775,0.821097835705605,571
1076.7538332993813,0.964833183960019,441
1066.505520824192,0.9363525204777804,408
942.2927672963274,0.8781852444513769,478
984.2544553775322,0.8923431145761851,515
975.9692471326526,0.8880520902025957,409
919.0982735688256,0.8090653816626987,555
957.5744510548031,0.900822625639514,646
973.6995167060492,0.8916662240897887,385
938.192666813454,0.9170993810493197,391
1127.6967895584044,0.9780544575528224,499
1048.4447801854492,0.9752974699399528,280
905.0512368609516,0.8349181151853796,326
1016.8149459653532,0.9014316896855968,376
1108.5262009032297,0.9715391769528744,533
1049.0486440136517,0.9822552846569772,411
1042.439468773576,0.8955665539291889,301
912.623847552822,0.8609658939177567,302
1099.094512862914,0.9483127807272768,425
1091.8174094486164,0.9670659073947,362
1034.1926863519752,0.9209195782297196,417
1071.1318390795846,0.9420684600524052,322
994.0937370997505,0.8735445844461778,367
970.6026829420318,0.8904611770110383,282
1064.7909588789,0.9840951560803144,365
1012.738003388362,0.8946448793183411,317
1020.6346826402848,0.9424142960667448,361
1044.896075132701,0.9802026971226088,299
972.7428298127824,0.8891616360263094,373
1016.9971542819792,0.9270712436481124,544
1058.283178508351,0.981709813087524,525
1031.7470592243874,0.9579824133931174,575
972.649920217064,0.9014364413503836,436
937.4851137558558,0.8499411729427523,485
930.8896491178668,0.8716195216459426,364
952.1001406493656,0.9207931727750148,394
987.5277290491651,0.905158321768254,382
1085.9103489474537,0.9661124100955992,509
1016.2694955479,0.8977645720387809,405
955.7327246781553,0.9269958532280846,406
1023.178878044522,0.9421536630244216,379
995.3657508683272,0.9354941267559468,403
1013.8504802229464,0.9555612443194595,391
1025.2501556370166,0.9727231078150064,352
1011.840692915101,0.9223707319189618,405
885.5864408699551,0.8307565111350423,483
879.2289409128346,0.800026333860632,489
863.8323701850832,0.791055284052274,504
882.0715434179058,0.8040761562606251,422
859.1647597921371,0.7810588725383065,446
943.3257173664064,0.8975506349823086,398
1006.9745806506768,0.9121146563864826,621
1035.1266591272336,0.9308692977762892,612
1008.0807880449368,0.8913181149822607,512
1078.269580766548,0.9705396766575588,508
1054.734493029727,0.9978566632258532,430
926.5056439664488,0.8570820018191017,527
955.3535054777008,0.8424634087104945,625
993.1450903524526,0.9833119706459926,623
1036.1263370137892,0.9665357621397288,560
935.2839940847068,0.8533613084714478,594
