server,bus1,bus2,bus3
364,179,117,90,
335,60,41,111,
590,31,82,80,
452,29,96,59,
375,35,96,85,
536,59,136,75,
424,65,114,92,
401,46,72,44,
503,122,136,112,
626,78,114,92,
565,117,158,107,
377,71,99,68,
590,78,102,71,
608,63,107,59,
655,91,147,99,
677,66,90,86,
485,76,139,79,
478,96,151,91,
604,103,111,82,
590,87,124,101,
577,111,159,114,
506,109,168,100,
599,147,212,133,
456,116,154,108,
535,116,163,112,
469,96,141,103,
635,124,165,111,
617,119,190,141,
576,140,162,149,
634,127,188,152,
602,137,168,144,
574,137,175,132,
682,161,194,145,
575,176,171,173,
595,129,120,142,
774,173,254,157,
755,169,194,134,
624,113,168,100,
648,115,160,101,
704,132,157,106,
570,178,228,143,
715,157,178,144,
820,184,240,167,
769,155,217,208,
818,171,247,221,
759,175,209,186,
837,264,258,254,
798,240,226,191,
691,177,248,160,
688,148,175,136,
628,145,194,174,
709,165,214,164,
644,172,199,187,
566,153,160,157,
699,200,265,294,
920,210,241,166,
750,148,219,133,
751,237,252,198,
811,228,241,192,
744,119,198,128,
640,147,155,142,
789,196,190,187,
774,108,164,115,
742,108,194,134,
741,178,258,190,
730,166,272,211,
825,150,227,161,
669,166,233,182,
752,150,241,162,
683,161,217,204,
668,182,223,238,
817,159,237,219,
798,144,212,180,
671,105,181,135,
677,89,320,206,
808,246,132,205,
880,193,281,200,
686,149,190,157,
600,189,193,252,
773,196,215,142,
757,170,216,150,
754,148,257,148,
788,150,187,145,
773,188,212,224,
798,126,180,176,
839,148,217,135,
794,105,123,162,
843,158,199,258,
817,195,211,223,
872,207,265,163,
764,197,237,249,
770,221,248,198,
791,165,225,167,
550,160,201,130,
667,181,248,191,
748,228,350,209,
913,176,176,366,
758,158,163,71,
661,270,220,160,
829,142,315,245,
