good,medium,bad
472,192,86
478,61,8
721,62,0
573,63,0
556,34,1
662,139,5
642,53,0
470,92,1
629,169,75
576,154,180
775,167,5
480,124,11
556,218,67
534,246,57
476,377,139
559,217,143
590,115,74
681,110,25
648,197,55
709,192,1
768,188,5
727,104,52
647,203,241
716,109,9
790,134,2
649,157,3
700,301,34
540,293,234
692,230,105
661,313,127
766,236,49
781,179,58
663,421,98
757,266,72
660,321,5
470,501,387
552,535,165
592,406,7
558,442,24
629,403,67
761,209,149
567,369,258
569,619,223
694,434,221
574,457,426
722,448,159
705,484,424
488,442,525
603,489,184
799,300,48
830,241,70
778,412,62
792,343,67
788,221,27
715,289,454
430,612,495
627,501,122
630,353,455
700,441,331
670,425,94
544,294,246
507,402,453
551,549,61
484,560,134
749,400,218
906,257,216
704,564,95
727,383,140
758,474,73
690,421,154
766,322,223
534,534,364
732,437,165
813,242,37
718,305,269
487,460,444
654,673,227
858,263,61
706,251,277
724,443,159
687,376,230
650,387,270
766,379,125
574,308,515
496,505,279
474,536,329
461,564,159
429,594,435
681,485,280
620,573,314
492,538,417
639,620,178
694,511,143
751,245,45
728,396,163
864,387,284
337,754,540
688,348,114
704,233,374
597,560,374
