server,bus1,bus2,bus3
490,37,138,85,
367,53,32,95,
548,85,47,103,
406,64,54,112,
330,64,79,118,
495,83,107,121,
394,71,89,141,
338,62,69,94,
521,93,123,136,
629,99,87,95,
595,99,135,118,
385,70,94,66,
560,88,108,85,
597,72,97,71,
626,98,177,91,
627,76,86,130,
518,52,122,87,
463,129,117,107,
393,282,148,77,
588,99,113,102,
573,112,153,123,
506,142,128,107,
596,167,189,139,
420,139,136,139,
564,146,103,113,
507,104,111,87,
629,129,153,124,
581,96,170,220,
607,124,105,191,
587,200,184,130,
613,112,211,115,
604,103,155,156,
723,150,174,135,
619,158,180,138,
600,148,125,113,
773,190,212,183,
752,157,191,152,
632,109,157,107,
627,123,156,118,
700,120,162,117,
635,118,210,156,
700,136,191,167,
813,172,251,175,
745,172,232,200,
806,167,264,220,
758,146,237,188,
843,232,279,259,
762,212,252,229,
674,172,233,197,
626,162,197,162,
618,142,194,187,
676,183,230,163,
631,150,226,195,
612,126,161,137,
744,176,244,294,
795,210,389,143,
741,161,191,157,
775,230,245,188,
800,201,240,231,
716,125,193,155,
657,103,161,163,
790,143,207,222,
760,100,195,106,
735,124,181,138,
730,151,269,217,
761,160,220,238,
840,143,219,161,
725,154,193,178,
752,173,199,181,
724,150,216,175,
719,187,200,205,
814,201,219,198,
760,159,231,184,
634,100,195,163,
680,139,221,252,
741,163,273,214,
838,227,289,200,
666,166,207,143,
621,230,217,166,
739,199,224,164,
727,165,234,167,
740,122,232,213,
765,176,194,135,
771,207,236,183,
798,166,177,139,
794,222,197,126,
799,121,169,95,
856,236,194,172,
849,190,209,198,
881,225,242,159,
812,219,221,195,
807,191,230,209,
796,172,181,199,
589,165,163,124,
710,185,211,181,
761,258,264,252,
877,256,320,178,
670,141,191,148,
661,211,175,264,
926,173,314,118,
