good,medium,bad
256,313,181
301,126,120
390,326,67
347,202,87
441,126,24
598,194,14
489,154,52
344,174,45
534,214,125
576,194,140
684,249,14
325,178,112
507,254,80
535,275,27
459,337,196
555,225,139
295,140,344
673,108,35
572,262,66
622,238,42
697,232,32
720,110,53
515,333,243
644,168,22
742,174,10
601,193,15
585,384,66
449,399,219
575,276,176
701,318,82
690,327,34
714,207,97
882,257,43
608,339,148
629,320,37
703,439,216
805,378,69
541,419,45
493,444,87
560,348,191
829,201,89
780,344,70
895,425,91
894,343,112
927,330,200
948,274,107
1049,390,174
755,471,229
836,374,66
979,155,13
931,163,47
1001,240,11
928,209,65
624,318,94
832,254,372
684,525,328
897,302,51
841,444,153
964,398,110
914,239,36
562,319,203
669,458,235
870,265,26
760,369,49
962,323,82
1053,199,127
995,327,41
926,267,57
1014,257,34
897,312,56
933,268,110
881,463,88
930,343,61
659,350,83
776,321,195
677,485,229
1001,474,79
1026,142,14
838,273,123
913,304,109
788,292,213
851,344,112
1029,199,42
798,492,107
843,335,102
753,454,132
769,334,81
696,556,206
914,344,188
879,435,193
739,540,168
965,439,33
914,375,59
613,321,107
871,312,104
958,382,195
846,576,209
907,195,48
834,237,240
952,408,171
