server,bus1,bus2,bus3
271,227,252,0,
189,142,216,0,
383,153,247,0,
291,134,211,0,
290,113,188,0,
421,179,206,0,
307,157,231,0,
290,113,160,0,
520,126,227,0,
617,103,190,0,
621,140,186,0,
293,136,186,0,
576,103,162,0,
591,84,162,0,
684,155,153,0,
680,96,143,0,
385,142,252,0,
595,80,141,0,
634,113,153,0,
631,122,149,0,
633,145,183,0,
567,112,204,0,
715,142,234,0,
542,123,169,0,
624,125,177,0,
582,89,138,0,
692,142,201,0,
669,138,260,0,
681,173,173,0,
845,81,175,0,
695,167,189,0,
680,127,211,0,
908,101,173,0,
693,167,235,0,
671,144,171,0,
1022,145,191,0,
995,86,171,0,
701,128,176,0,
695,136,193,0,
745,141,213,0,
803,115,201,0,
915,122,157,0,
1089,131,191,0,
980,171,198,0,
1071,181,205,0,
990,147,192,0,
1158,178,277,0,
1043,211,201,0,
936,156,184,0,
848,135,164,0,
840,134,167,0,
899,155,198,0,
786,201,215,0,
766,115,155,0,
972,265,221,0,
1203,193,141,0,
973,110,167,0,
1038,199,201,0,
1046,214,212,0,
948,105,136,0,
650,231,203,0,
967,221,174,0,
981,72,108,0,
971,86,121,0,
1037,153,177,0,
988,208,183,0,
1080,121,162,0,
870,171,209,0,
978,139,188,0,
895,168,202,0,
871,227,213,0,
1038,165,229,0,
999,146,189,0,
680,171,241,0,
912,198,182,0,
995,187,209,0,
1115,190,249,0,
870,119,193,0,
831,186,217,0,
1000,167,159,0,
944,148,201,0,
956,175,176,0,
939,132,199,0,
998,207,192,0,
1033,115,132,0,
1071,152,116,0,
1015,89,80,0,
1112,194,152,0,
1103,213,130,0,
1181,158,168,0,
1051,177,219,0,
1049,192,196,0,
1028,137,183,0,
525,226,290,0,
917,174,196,0,
1020,309,206,0,
1206,181,244,0,
800,171,179,0,
864,264,183,0,
1108,145,278,0,
