good,medium,bad
591,148,11
506,40,1
765,18,0
609,27,0
578,13,0
711,95,0
671,23,1
497,66,0
706,159,8
780,107,23
885,61,1
525,90,0
680,156,5
676,160,1
711,225,56
671,169,79
672,80,27
739,73,4
761,131,8
814,88,0
863,96,2
774,89,20
843,138,110
786,47,1
869,56,1
730,79,0
941,92,2
817,223,27
943,82,2
821,240,40
957,93,1
879,126,13
930,233,19
984,106,5
859,126,1
834,428,96
840,392,20
811,194,0
792,232,0
882,213,4
927,164,28
866,316,12
1048,327,36
1077,261,11
1026,283,148
1108,204,17
1173,246,194
981,419,55
972,294,10
1000,142,5
960,155,26
1132,119,1
1005,165,32
904,132,0
957,324,177
842,544,151
962,264,24
1027,353,58
1161,292,19
938,232,19
723,288,73
708,425,229
861,288,12
808,340,30
1127,233,7
1035,176,168
1112,241,10
1000,212,38
1078,212,15
999,255,11
965,194,152
1043,348,41
1078,250,6
991,101,0
859,318,115
866,415,110
1212,302,40
1042,137,3
934,250,50
1034,223,69
847,266,180
908,316,83
1102,156,12
946,382,69
860,354,66
760,456,123
808,332,44
741,555,162
982,288,176
910,423,174
892,500,55
1195,238,4
1003,315,30
910,121,10
1024,221,42
1046,323,166
918,396,317
935,138,77
827,232,252
