server,bus1,bus2,bus3
496,84,95,75,
342,33,111,61,
570,27,114,72,
438,32,117,49,
373,41,122,55,
546,50,135,75,
418,60,141,76,
401,38,71,53,
584,63,128,98,
656,77,134,43,
630,89,160,68,
429,54,86,46,
675,40,84,42,
685,39,69,44,
787,68,87,50,
777,40,65,37,
539,60,101,79,
545,67,118,86,
679,60,89,72,
686,63,75,78,
675,70,126,90,
535,85,142,121,
666,119,162,144,
449,113,144,128,
624,57,134,111,
538,58,123,90,
721,80,138,96,
756,66,148,97,
636,99,167,125,
744,96,155,106,
711,99,121,120,
688,89,116,125,
866,99,110,107,
719,121,137,118,
711,108,81,86,
971,113,184,90,
922,88,133,109,
778,56,104,67,
776,56,120,72,
846,54,128,71,
685,95,194,145,
822,95,145,132,
987,111,182,131,
880,120,187,162,
1005,114,202,136,
881,125,180,143,
1011,200,199,203,
961,156,186,152,
837,129,183,127,
758,115,164,110,
703,133,172,133,
808,127,176,141,
715,162,155,170,
632,119,131,154,
869,172,244,173,
1079,164,154,140,
880,97,161,112,
952,139,200,147,
904,171,230,167,
859,86,155,89,
743,70,164,107,
942,92,218,110,
897,66,140,58,
898,73,145,62,
902,148,196,121,
919,128,179,153,
998,104,159,102,
827,104,184,135,
869,122,178,136,
821,140,165,139,
842,155,177,137,
937,147,214,134,
894,136,158,146,
738,96,127,131,
817,141,169,165,
904,150,192,145,
1006,190,179,179,
765,120,158,139,
695,168,196,175,
845,162,132,187,
890,112,185,106,
902,124,158,123,
781,153,180,156,
961,122,177,137,
975,81,140,84,
1018,95,139,87,
962,75,90,57,
1084,107,158,109,
1022,97,224,103,
1108,129,127,143,
990,142,157,158,
1047,126,126,138,
1020,103,120,105,
671,104,156,110,
842,133,174,138,
895,192,274,174,
1030,154,153,294,
850,83,150,67,
798,122,174,217,
