good,medium,bad
385,93,12
457,28,1
449,76,7
569,80,5
563,61,0
520,59,5
416,45,1
695,142,7
674,161,17
647,82,3
589,83,8
510,181,17
427,47,0
550,137,7
542,104,0
432,156,24
602,81,3
594,135,53
654,202,24
630,119,13
738,185,25
670,102,6
563,155,22
738,160,12
711,161,44
610,134,16
635,149,8
628,134,4
603,154,43
548,65,5
725,131,4
685,229,52
666,228,32
609,188,65
487,213,24
504,328,126
627,156,27
646,168,12
667,308,51
656,270,78
614,438,232
649,308,87
662,191,43
632,221,51
777,220,75
653,317,112
693,408,167
778,283,73
682,285,51
717,301,46
527,120,93
501,183,158
810,284,40
760,262,110
684,403,307
792,306,68
726,255,47
536,164,56
569,248,123
700,233,183
541,367,196
704,310,70
672,168,28
493,136,13
509,23,0
551,58,1
650,165,27
718,140,18
220,8,0
684,297,79
655,444,267
689,214,115
709,464,99
628,215,247
773,328,179
747,318,309
679,252,365
602,533,325
766,297,399
646,458,362
688,439,171
666,468,418
839,237,206
664,440,132
597,462,99
613,417,210
696,484,124
628,333,269
683,388,253
628,484,228
743,281,46
712,248,122
668,403,119
353,97,44
621,188,85
750,299,139
732,356,96
764,309,41
777,295,180
668,519,329
