server,bus1,bus2,bus3
436,22,32,0,
436,24,26,0,
475,27,30,0,
585,34,35,0,
561,33,30,0,
530,28,26,0,
421,22,19,0,
750,40,54,0,
753,39,60,0,
669,32,31,0,
614,28,38,0,
619,39,50,0,
440,20,14,0,
632,32,30,0,
606,19,21,0,
532,33,47,0,
635,29,22,0,
669,51,62,0,
782,40,58,0,
680,38,44,0,
844,56,48,0,
711,33,34,0,
636,50,54,0,
812,35,63,0,
802,61,53,0,
688,30,42,0,
719,31,42,0,
695,30,41,0,
690,52,58,0,
559,27,32,0,
764,40,56,0,
838,58,70,0,
842,45,39,0,
727,51,84,0,
626,42,56,0,
802,74,82,0,
732,32,46,0,
748,37,41,0,
901,37,88,0,
867,77,60,0,
1057,96,131,0,
892,74,78,0,
778,48,70,0,
790,60,54,0,
910,77,85,0,
925,73,84,0,
1032,116,120,0,
981,81,72,0,
886,61,71,0,
900,79,85,0,
621,57,62,0,
689,82,71,0,
973,79,82,0,
933,93,106,0,
1131,127,136,0,
1024,57,85,0,
878,68,82,0,
635,59,62,0,
776,87,77,0,
943,82,91,0,
920,83,101,0,
936,74,74,0,
791,31,46,0,
586,32,24,0,
499,12,21,0,
556,25,29,0,
743,43,56,0,
784,45,47,0,
209,9,10,0,
905,62,93,0,
1105,123,138,0,
875,71,72,0,
1085,85,102,0,
909,90,91,0,
1077,89,114,0,
1075,146,153,0,
1040,117,139,0,
1151,135,174,0,
1151,153,158,0,
1187,129,150,0,
1106,97,95,0,
1234,148,170,0,
1039,101,142,0,
1023,98,115,0,
1004,64,90,0,
1029,106,105,0,
1093,97,114,0,
1031,74,125,0,
1084,114,126,0,
1091,122,127,0,
930,60,80,0,
911,77,94,0,
1011,83,96,0,
431,30,33,0,
767,71,56,0,
973,90,125,0,
969,93,122,0,
1002,45,67,0,
1035,103,114,0,
1221,138,157,0,
