number_of_server,distance,server_0,server_1,server_2,server_3,reward
0,0,0.167,0.0,0.0,0.0,1
0,0,0.334,0.0,0.0,0.0,1
0,0,0.501,0.0,0.0,0.0,1
0,0,0.16733333333333333,0.0,0.0,0.0,1
0,0,0.33566666666666667,0.0,0.0,0.0,1
0,0,0.504,0.0,0.0,0.0,1
0,0,0.6726666666666666,0.0,0.0,0.0,1
0,0,0.16866666666666666,0.0,0.0,0.0,1
0,0,0.3373333333333333,0.0,0.0,0.0,1
0,0,0.5066666666666666,0.0,0.0,0.0,1
0,0,0.6763333333333332,0.0,0.0,0.0,1
0,0,0.8463333333333333,0.0,0.0,0.0,1
0,0,1.0166666666666666,0.0,0.0,0.0,1
0,0,0.18799999999999994,0.0,0.0,0.0,1
0,0,0.3603333333333333,0.0,0.0,0.0,1
0,0,0.17300000000000001,0.0,0.0,0.0,1
0,0,0.34600000000000003,0.0,0.0,0.0,1
0,0,0.5193333333333334,0.0,0.0,0.0,1
0,0,0.6930000000000001,0.0,0.0,0.0,1
0,0,0.17433333333333334,0.0,0.0,0.0,1
0,0,0.3486666666666667,0.0,0.0,0.0,1
0,0,0.524,0.0,0.0,0.0,1
0,0,0.6993333333333334,0.0,0.0,0.0,1
0,0,0.17566666666666667,0.0,0.0,0.0,1
0,0,0.3516666666666667,0.0,0.0,0.0,1
0,0,0.528,0.0,0.0,0.0,1
0,0,0.7046666666666667,0.0,0.0,0.0,1
0,0,0.8813333333333333,0.0,0.0,0.0,1
0,0,0.17700000000000002,0.0,0.0,0.0,1
0,0,0.3543333333333334,0.0,0.0,0.0,1
0,0,0.533,0.0,0.0,0.0,1
0,0,0.17866666666666667,0.0,0.0,0.0,1
0,0,0.3576666666666667,0.0,0.0,0.0,1
0,0,0.5376666666666667,0.0,0.0,0.0,1
0,0,0.7183333333333334,0.0,0.0,0.0,1
0,0,0.18100000000000002,0.0,0.0,0.0,1
0,0,0.36200000000000004,0.0,0.0,0.0,1
0,0,0.5433333333333334,0.0,0.0,0.0,1
0,0,0.18133333333333335,0.0,0.0,0.0,1
0,0,0.3626666666666667,0.0,0.0,0.0,1
0,0,0.5446666666666667,0.0,0.0,0.0,1
0,0,0.7266666666666668,0.0,0.0,0.0,1
0,0,0.18200000000000002,0.0,0.0,0.0,1
0,0,0.36400000000000005,0.0,0.0,0.0,1
0,0,0.546,0.0,0.0,0.0,1
0,0,0.18233333333333335,0.0,0.0,0.0,1
0,0,0.365,0.0,0.0,0.0,1
0,0,0.5483333333333333,0.0,0.0,0.0,1
0,0,0.732,0.0,0.0,0.0,1
0,0,0.18366666666666667,0.0,0.0,0.0,1
0,0,0.368,0.0,0.0,0.0,1
0,0,0.5523333333333333,0.0,0.0,0.0,1
0,0,0.7373333333333334,0.0,0.0,0.0,1
0,0,0.9223333333333334,0.0,0.0,0.0,1
0,0,1.1076666666666668,0.0,0.0,0.0,1
0,0,1.2936666666666667,0.0,0.0,0.0,0.8608071575762196
0,0,0.4800000000000001,0.0,0.0,0.0,1
0,0,0.6670000000000001,0.0,0.0,0.0,1
0,0,0.8543333333333335,0.0,0.0,0.0,1
0,0,1.0420000000000003,0.0,0.0,0.0,1
0,0,1.2300000000000002,0.0,0.0,0.0,0.9264718168368222
0,0,0.41800000000000015,0.0,0.0,0.0,1
0,0,0.6063333333333335,0.0,0.0,0.0,1
0,0,0.18866666666666665,0.0,0.0,0.0,1
0,0,0.3773333333333333,0.0,0.0,0.0,1
0,0,0.566,0.0,0.0,0.0,1
0,0,0.7553333333333333,0.0,0.0,0.0,1
0,0,0.9446666666666667,0.0,0.0,0.0,1
0,0,1.1346666666666667,0.0,0.0,0.0,1
0,0,0.32466666666666666,0.0,0.0,0.0,1
0,0,0.5146666666666666,0.0,0.0,0.0,1
0,0,0.7046666666666666,0.0,0.0,0.0,1
0,0,0.8949999999999999,0.0,0.0,0.0,1
0,0,0.19099999999999998,0.0,0.0,0.0,1
0,0,0.38199999999999995,0.0,0.0,0.0,1
0,0,0.5733333333333333,0.0,0.0,0.0,1
0,0,0.7646666666666666,0.0,0.0,0.0,1
0,0,0.9563333333333333,0.0,0.0,0.0,1
0,0,1.1483333333333332,0.0,0.0,0.0,1
