server,bus1,bus2,bus3
864,119,0,0,
742,340,0,0,
626,304,0,0,
846,144,0,0,
888,249,0,0,
677,502,0,0,
614,323,0,0,
786,400,0,0,
641,318,0,0,
763,290,0,0,
808,373,0,0,
699,313,0,0,
725,402,0,0,
657,359,0,0,
557,362,0,0,
614,407,0,0,
797,346,0,0,
816,302,0,0,
637,332,0,0,
293,630,0,0,
543,361,0,0,
526,455,0,0,
561,344,0,0,
939,256,0,0,
870,122,0,0,
548,464,0,0,
635,356,0,0,
616,304,0,0,
649,420,0,0,
680,318,0,0,
691,294,0,0,
841,289,0,0,
658,306,0,0,
762,329,0,0,
755,325,0,0,
742,334,0,0,
779,276,0,0,
829,324,0,0,
592,320,0,0,
622,326,0,0,
726,315,0,0,
724,368,0,0,
894,292,0,0,
714,279,0,0,
597,330,0,0,
724,292,0,0,
865,307,0,0,
779,340,0,0,
721,294,0,0,
837,316,0,0,
776,320,0,0,
774,277,0,0,
597,355,0,0,
623,296,0,0,
807,325,0,0,
705,313,0,0,
783,391,0,0,
918,268,0,0,
717,294,0,0,
657,312,0,0,
763,329,0,0,
763,316,0,0,
798,336,0,0,
613,315,0,0,
869,293,0,0,
665,346,0,0,
784,401,0,0,
591,496,0,0,
441,648,0,0,
163,815,0,0,
854,88,0,0,
747,419,0,0,
478,526,0,0,
672,354,0,0,
632,271,0,0,
717,462,0,0,
681,335,0,0,
605,595,0,0,
707,412,0,0,
628,374,0,0,
664,486,0,0,
599,500,0,0,
539,533,0,0,
471,464,0,0,
636,433,0,0,
532,510,0,0,
571,572,0,0,
559,565,0,0,
485,474,0,0,
599,598,0,0,
529,545,0,0,
585,558,0,0,
483,495,0,0,
529,515,0,0,
480,466,0,0,
525,554,0,0,
456,467,0,0,
521,526,0,0,
465,491,0,0,
515,529,0,0,
