total_reward,mean_reward
491,368.6204491444342,0.7507544789092346
717,529.5334947668927,0.7385404390054291
593,445.24701237520395,0.7508381321672917
710,532.4876160449346,0.7499825578097671
762,572.0773671984475,0.7507576997354954
837,627.3428948978828,0.7495136139759652
813,609.3554483300057,0.749514696592873
766,570.2561107656343,0.7444596746287654
830,621.8295820803747,0.7491922675667165
725,543.1577812904393,0.7491831466075025
709,529.7177959971591,0.7471337038041737
689,504.1912405168318,0.7317724826078835
801,598.9252091683851,0.7477218591365606
878,652.8909003173247,0.7436115037782742
764,560.4955716127375,0.733632947137091
854,586.6010101986595,0.6868864288040509
1010,752.5422432801669,0.7450913299803632
1123,800.5525061028653,0.7128695512937359
1229,891.3990591969925,0.7253043606159418
1363,983.0919687276595,0.7212707033952014
1032,756.3919291512391,0.732937915844224
1004,751.6707849337655,0.7486760806113202
1105,824.7697418193577,0.7463979563976088
901,663.2977807059186,0.7361795568323182
877,657.228213953669,0.7494050330144458
1079,803.6423855035191,0.7448029522738824
981,729.8356427275561,0.7439710935041346
893,652.3462918824225,0.7305109651538886
1392,715.7566035638552,0.5141929623303557
1513,1056.0768457276795,0.698001880851077
1286,889.9778502312909,0.6920512054675667
1128,804.5477683284331,0.7132515676670507
1334,963.8924879105914,0.7225580868894989
1180,868.9934762801314,0.7364351493899418
1273,886.2099409843103,0.6961586339232603
1156,768.1771754473747,0.6645131275496321
1224,856.4963670013045,0.6997519338245952
1068,763.0297903454156,0.7144473692372805
1249,899.8296163917709,0.7204400451495363
1355,742.4152535148098,0.5479079361732914
1187,861.4729205116305,0.7257564620990989
1386,952.764497909965,0.6874202726623124
1309,912.0674620527144,0.696766586747681
1240,698.5294949971734,0.5633302379009463
1320,919.743369287881,0.6967752797635463
1229,842.8302280672517,0.6857853767837687
1278,866.846206728958,0.67828341684582
1117,787.316429384893,0.7048490862890716
1038,723.9366690153067,0.6974341705349776
1299,838.7052125487116,0.6456545131244893
1610,1037.4030725433638,0.6443497344989837
1302,903.9761937627262,0.6942981518914948
1155,747.1610678338831,0.6468926994232754
1191,813.8863624278655,0.6833638643390978
1286,948.3603190464312,0.737449703768609
1281,810.884628284744,0.633009077505655
1321,904.1899365203872,0.6844738353674392
1444,986.2940582765531,0.6830291262302999
1613,851.7188718671289,0.5280340185165089
1365,804.4614032491014,0.589349013369305
1170,810.8090890160419,0.6929992213812324
1359,904.9727036497817,0.6659107458791624
1225,866.9985212225085,0.7077538948755172
1715,858.240883685644,0.5004320021490636
1213,890.0783190348305,0.7337826208036525
1374,972.1021691681599,0.707497939714818
1507,1030.800642909759,0.6840083894557127
1350,867.8514371348153,0.6428529163961595
1222,842.7750942382264,0.6896686532227712
1071,766.4324461116709,0.7156231989838197
1368,918.0355863054416,0.6710786449601182
1509,876.7816493547269,0.5810348902284472
1736,867.3850187625914,0.4996457481351333
1106,812.821840488701,0.7349202897727857
1210,811.9597450002268,0.6710411115704353
1726,890.5023806768628,0.5159341718869426
1736,1151.7611738138362,0.6634568973582006
1841,964.0153467298958,0.5236367988755545
1593,838.1522153866364,0.5261470278635507
1056,743.5118212735885,0.7040831640848375
1187,873.3127464108644,0.735731041626676
1092,772.1049595176593,0.7070558237341202
1647,859.4294980351535,0.5218151172041005
1267,751.8850947989274,0.5934373281759491
1474,901.5347967501633,0.6116246925035029
1611,886.2828040578813,0.5501445090365495
1537,904.0723061645089,0.5882057945117168
1360,866.0800590875915,0.6368235728585232
1526,920.276834548188,0.6030647670695859
2000,749.3358231920632,0.37466791159603163
1604,884.6935245537979,0.5515545664300486
1562,1020.1320194853369,0.6530934823849788
1496,879.2012727208217,0.5877013855085707
1704,1109.0506017058121,0.6508512920808757
1349,890.6310201458487,0.6602157302786128
1212,885.3744660621068,0.7305069851997581
1296,805.9647632477402,0.6218863913948612
1744,1153.5649462772562,0.6614477902965918
1187,868.6375896288607,0.7317924091228818
1242,879.0186728039236,0.7077445030627404
