server,bus1,bus2,bus3
235,68,77,110,
154,106,146,80,
269,84,102,77,
262,179,121,92,
234,111,156,123,
295,85,125,79,
161,71,154,76,
348,159,187,150,
316,142,241,153,
319,127,173,113,
231,132,185,132,
191,121,155,241,
223,53,111,87,
340,119,126,109,
349,109,103,85,
306,79,131,96,
340,100,155,91,
361,131,139,151,
359,165,188,168,
320,113,205,124,
372,181,249,146,
324,164,158,132,
281,95,216,148,
220,238,262,190,
366,203,208,139,
292,85,208,175,
310,104,233,145,
369,98,189,110,
301,135,167,197,
295,113,139,71,
262,219,228,151,
323,241,209,193,
332,149,263,182,
332,157,194,179,
213,168,205,138,
379,185,221,173,
323,145,215,127,
332,150,187,157,
424,193,237,172,
346,225,255,178,
393,277,314,300,
388,180,320,156,
331,184,238,143,
407,135,223,139,
378,239,256,199,
380,201,319,182,
406,277,296,289,
426,208,307,193,
352,220,254,192,
395,212,223,234,
287,126,167,160,
331,150,165,196,
409,219,275,231,
377,260,261,234,
434,289,351,320,
379,227,327,233,
452,205,174,197,
230,152,236,138,
296,203,241,200,
448,210,245,213,
373,235,236,260,
332,221,291,240,
273,169,278,148,
313,86,130,113,
256,59,158,59,
248,96,147,119,
335,131,223,153,
358,139,197,182,
154,40,31,3,
411,211,261,177,
494,280,308,284,
327,267,213,211,
454,273,306,239,
421,200,236,233,
421,260,356,243,
469,285,319,301,
425,262,356,253,
495,281,402,282,
514,319,316,313,
411,440,324,291,
621,102,360,215,
542,358,223,429,
162,380,491,249,
469,180,171,416,
342,198,321,297,
456,254,316,214,
506,233,343,222,
318,289,270,353,
483,256,333,252,
373,298,376,293,
428,149,269,224,
347,220,299,216,
463,243,238,246,
177,91,165,61,
360,174,201,159,
410,228,306,244,
488,200,297,199,
355,225,305,229,
400,276,314,262,
401,379,386,350,
