good,medium,bad
161,179,410
369,151,27
563,211,9
426,195,15
510,75,6
639,158,9
561,101,33
415,148,0
644,192,37
706,171,33
796,147,4
353,181,81
542,248,51
584,230,23
490,326,176
545,232,142
352,246,181
692,88,36
671,190,39
696,205,1
761,195,5
741,88,54
650,232,209
699,131,4
805,118,3
665,143,1
722,291,22
584,380,103
740,235,52
846,245,10
816,225,10
766,195,57
963,198,21
772,271,52
713,265,8
803,438,117
871,362,19
617,375,13
571,425,28
606,422,71
927,154,38
852,320,22
1027,348,36
1022,322,5
1030,309,118
1094,223,12
1163,267,183
1016,399,40
975,287,14
1023,119,5
989,130,22
1106,144,2
998,183,21
695,304,37
981,261,216
870,531,136
979,257,14
1038,353,47
1161,288,23
929,242,18
561,347,176
700,473,189
897,248,16
803,355,20
1130,235,2
1083,164,132
1090,262,11
984,237,29
1091,199,15
974,285,6
962,237,112
1023,377,32
1078,252,4
788,272,32
829,300,163
826,436,129
1205,313,36
1064,112,6
927,256,51
1007,258,61
931,274,88
902,262,143
1073,179,18
887,355,155
859,368,53
766,466,107
787,338,59
760,554,144
968,248,230
1066,362,79
902,489,56
1185,241,11
1020,305,23
775,228,38
1009,249,29
1023,333,179
1111,362,158
972,140,38
850,200,261
1072,260,199
