good,medium,bad
485,6,0
606,95,16
573,20,0
647,59,4
707,52,3
776,60,1
743,67,3
677,87,2
782,48,0
663,60,2
603,103,3
563,108,18
710,91,0
752,120,6
600,152,12
613,176,65
825,152,33
725,253,145
842,316,71
822,439,102
798,199,35
861,128,15
833,254,18
738,143,20
793,82,2
827,239,13
834,144,3
761,128,4
559,169,664
654,584,275
680,349,257
768,237,123
675,471,188
845,283,52
851,294,128
656,296,204
763,309,152
719,309,40
782,423,44
476,344,535
912,224,51
718,402,266
694,399,216
649,162,429
647,356,317
771,300,158
763,311,204
764,240,113
667,225,146
694,254,351
499,487,624
799,365,138
789,134,232
827,241,123
730,459,97
691,364,226
677,396,248
724,406,314
675,288,650
638,306,421
747,244,179
656,394,309
769,380,76
405,340,970
853,288,72
782,359,233
652,635,220
769,336,245
718,321,183
700,252,119
608,394,366
741,341,427
685,364,687
665,279,162
798,234,178
518,321,887
418,688,630
326,460,1055
579,336,678
680,296,80
742,403,42
704,247,141
708,270,669
665,253,349
445,620,409
521,456,634
612,420,505
593,483,284
586,471,469
265,276,1459
589,297,718
602,560,400
662,357,477
471,694,539
765,300,284
872,269,71
724,289,283
402,548,794
747,307,133
788,305,149
