server,bus1,bus2,bus3
270,176,215,89,
280,124,96,47,
586,112,29,56,
463,82,53,38,
385,88,72,46,
553,111,68,74,
390,134,122,49,
366,77,91,29,
522,151,130,70,
544,114,154,98,
580,126,155,86,
384,76,95,60,
620,70,90,61,
632,71,76,58,
691,66,126,109,
675,51,117,76,
531,105,56,87,
502,131,83,100,
617,107,96,80,
590,89,106,117,
582,122,116,141,
489,111,175,108,
666,185,91,149,
460,153,95,126,
634,128,46,118,
507,91,86,125,
632,135,143,125,
654,131,144,138,
646,141,95,145,
694,154,132,121,
716,113,124,98,
659,150,132,77,
752,139,168,123,
678,164,167,86,
603,133,134,116,
794,172,217,175,
758,160,200,134,
666,104,155,80,
644,109,176,95,
697,125,179,98,
606,173,228,112,
692,143,210,149,
846,181,217,167,
729,237,214,169,
824,198,229,206,
758,149,235,187,
842,317,239,215,
777,183,247,248,
741,155,213,167,
715,121,181,130,
640,166,191,144,
718,156,217,161,
638,184,204,176,
572,168,175,121,
687,252,244,275,
877,151,295,214,
761,151,214,124,
758,170,247,263,
808,192,263,209,
746,123,199,121,
623,139,167,155,
769,169,191,233,
791,114,151,105,
716,124,200,138,
738,172,268,189,
727,250,217,185,
755,138,277,193,
678,186,204,182,
738,188,218,161,
685,175,212,193,
642,240,210,219,
786,187,253,206,
765,185,216,168,
666,119,163,144,
696,151,195,250,
760,210,266,155,
792,201,311,250,
678,161,183,160,
638,183,226,187,
746,170,227,183,
744,173,157,219,
722,256,195,134,
694,145,247,184,
746,197,217,237,
787,181,172,140,
792,222,164,161,
784,108,148,144,
862,250,171,175,
819,228,210,189,
832,112,268,295,
810,194,235,208,
815,198,239,185,
832,164,195,157,
595,134,166,146,
707,158,230,192,
793,320,199,223,
886,239,270,236,
679,89,198,184,
622,252,227,210,
864,171,231,265,
