good,medium,bad
288,74,38
180,4,0
264,8,0
313,15,0
452,14,0
389,21,0
275,5,0
261,45,0
284,44,0
307,35,0
286,10,0
206,36,0
158,26,0
258,45,1
184,35,1
235,53,0
360,20,0
429,15,0
396,12,0
362,36,0
314,20,0
400,18,0
371,13,0
416,14,0
366,12,0
525,55,0
464,22,0
377,44,1
419,13,0
433,25,0
511,17,0
519,59,0
426,40,0
524,33,1
603,76,1
433,92,1
532,141,1
505,134,1
552,99,1
578,90,0
654,54,0
465,35,0
460,37,1
461,27,0
424,26,0
520,28,0
452,17,1
534,26,0
495,25,0
491,28,1
522,24,0
495,18,1
604,20,0
749,61,0
372,24,0
17,3,0
2,0,0
408,12,0
575,29,0
459,100,3
454,124,2
485,65,0
394,47,1
487,77,0
556,21,1
473,43,0
346,30,4
360,38,0
332,22,0
556,54,0
598,44,0
510,48,0
455,43,0
487,35,0
433,35,0
555,33,0
406,14,0
380,22,0
380,8,0
490,56,0
507,79,38
496,38,0
555,19,0
604,95,3
424,110,2
371,75,0
370,56,0
452,57,3
532,44,0
478,24,0
491,45,0
478,38,0
500,73,1
571,46,1
683,47,0
559,13,0
418,10,0
504,34,0
373,27,0
