date_time,request_count
20200901-00,2081222.0
20200901-01,2075330.0
20200901-02,2095578.0
20200901-03,2097509.0
20200901-04,2042420.0
20200901-05,1961208.0
20200901-06,1898441.0
20200901-07,1888677.0
20200901-08,1885772.0
20200901-09,1877364.0
20200901-10,1907971.0
20200901-11,1959220.0
20200901-12,2031934.0
20200901-13,2161062.0
20200901-14,2299849.0
20200901-15,2391634.0
20200901-16,2425916.0
20200901-17,2392882.0
20200901-18,2387994.0
20200901-19,2394479.0
20200901-20,2404032.0
20200901-21,2399605.0
20200901-22,2298333.0
20200901-23,2148297.0
20200902-00,2058786.0
20200902-01,2071188.0
20200902-02,2097651.0
20200902-03,2109768.0
20200902-04,2067310.0
20200902-05,1959856.0
20200902-06,1910365.0
20200902-07,1900505.0
20200902-08,1890806.0
20200902-09,1882482.0
20200902-10,1901852.0
20200902-11,1949949.0
20200902-12,2023573.0
20200902-13,2162697.0
20200902-14,2301584.0
20200902-15,2402500.0
20200902-16,2421096.0
20200902-17,2404565.0
20200902-18,2399209.0
20200902-19,2390722.0
20200902-20,2396680.0
20200902-21,2383711.0
20200902-22,2307422.0
20200902-23,2159536.0
20200903-00,2059476.0
20200903-01,2082495.0
20200903-02,2067754.0
20200903-03,2099151.0
20200903-04,2058439.0
20200903-05,1989893.0
20200903-06,1920552.0
20200903-07,1913577.0
20200903-08,1892196.0
20200903-09,1899417.0
20200903-10,1914622.0
20200903-11,1965411.0
20200903-12,2032253.0
20200903-13,2160092.0
20200903-14,2292376.0
20200903-15,2384717.0
20200903-16,2405895.0
20200903-17,2394772.0
20200903-18,2388325.0
20200903-19,2388657.0
20200903-20,2400196.0
20200903-21,2398510.0
20200903-22,2288230.0
20200903-23,2140175.0
20200904-00,2031203.0
20200904-01,2015873.0
20200904-02,2053177.0
20200904-03,2075394.0
20200904-04,2032113.0
20200904-05,1938069.0
20200904-06,1877978.0
20200904-07,1879173.0
20200904-08,1860236.0
20200904-09,1860469.0
20200904-10,1872178.0
20200904-11,1898371.0
20200904-12,1978043.0
20200904-13,2107379.0
20200904-14,2242687.0
20200904-15,2319839.0
20200904-16,2349502.0
20200904-17,2328360.0
20200904-18,2321314.0
20200904-19,2318881.0
20200904-20,2313887.0
20200904-21,2290846.0
20200904-22,2214137.0
20200904-23,2080241.0
20200905-00,1966898.0
20200905-01,1934339.0
20200905-02,1947413.0
20200905-03,1967221.0
20200905-04,1942183.0
20200905-05,1898466.0
20200905-06,1832294.0
20200905-07,1802195.0
20200905-08,1795851.0
20200905-09,1773483.0
20200905-10,1795105.0
20200905-11,1835137.0
20200905-12,1893379.0
20200905-13,2009685.0
20200905-14,2107240.0
20200905-15,2205994.0
20200905-16,2244549.0
20200905-17,2268110.0
20200905-18,2280330.0
20200905-19,2275332.0
20200905-20,2293888.0
20200905-21,2295589.0
20200905-22,2235721.0
20200905-23,2129079.0
20200906-00,2027039.0
20200906-01,2007616.0
20200906-02,2004401.0
20200906-03,2011811.0
20200906-04,1989320.0
20200906-05,1937670.0
20200906-06,1878797.0
20200906-07,1857955.0
20200906-08,1853065.0
20200906-09,1847780.0
20200906-10,1868637.0
20200906-11,1902932.0
20200906-12,1975882.0
20200906-13,2088078.0
20200906-14,2187531.0
20200906-15,2279924.0
20200906-16,2353550.0
20200906-17,2390465.0
20200906-18,2393066.0
20200906-19,2396180.0
20200906-20,2408843.0
20200906-21,2378629.0
20200906-22,2287157.0
20200906-23,2155207.0
20200907-00,2058925.0
20200907-01,2074321.0
20200907-02,2108515.0
20200907-03,2136114.0
20200907-04,2108994.0
20200907-05,2045784.0
20200907-06,1989228.0
20200907-07,1982839.0
20200907-08,1948848.0
20200907-09,1932927.0
20200907-10,1948334.0
20200907-11,1982063.0
20200907-12,2041091.0
20200907-13,2179219.0
20200907-14,2315445.0
20200907-15,2402267.0
20200907-16,2438135.0
20200907-17,2419172.0
20200907-18,2410394.0
20200907-19,2425866.0
20200907-20,2435447.0
20200907-21,2415062.0
20200907-22,2337259.0
20200907-23,2198989.0
20200908-00,2122115.0
20200908-01,2143362.0
20200908-02,2167217.0
20200908-03,2178234.0
20200908-04,2113169.0
20200908-05,2028414.0
20200908-06,1949328.0
20200908-07,1947344.0
20200908-08,1956567.0
20200908-09,1942976.0
20200908-10,1949550.0
20200908-11,1998446.0
20200908-12,2068950.0
20200908-13,2194908.0
20200908-14,2307041.0
20200908-15,2389111.0
20200908-16,2430294.0
20200908-17,2436953.0
20200908-18,2431724.0
20200908-19,2440657.0
20200908-20,2434281.0
20200908-21,2419248.0
20200908-22,2307174.0
20200908-23,2148956.0
20200909-00,2073280.0
20200909-01,2091468.0
20200909-02,2104164.0
20200909-03,2106666.0
20200909-04,2059323.0
20200909-05,1976922.0
20200909-06,1912548.0
20200909-07,1895025.0
20200909-08,1894995.0
20200909-09,1912043.0
20200909-10,1938952.0
20200909-11,1968383.0
20200909-12,2055176.0
20200909-13,2186799.0
20200909-14,2334784.0
20200909-15,2414149.0
20200909-16,2435575.0
20200909-17,2420736.0
20200909-18,2419582.0
20200909-19,2425987.0
20200909-20,2425836.0
20200909-21,2416027.0
20200909-22,2306217.0
20200909-23,2145828.0
20200910-00,2058691.0
20200910-01,2074211.0
20200910-02,2087621.0
20200910-03,2118905.0
20200910-04,2070256.0
20200910-05,1987683.0
20200910-06,1927131.0
20200910-07,1912760.0
20200910-08,1898236.0
20200910-09,1904457.0
20200910-10,1917073.0
20200910-11,1986316.0
20200910-12,2047420.0
20200910-13,2182483.0
20200910-14,2325696.0
20200910-15,2407925.0
20200910-16,2414929.0
20200910-17,2396306.0
20200910-19,2430252.0
20200910-18,2412265.0
20200910-20,2431388.0
20200910-21,2393178.0
20200910-22,2289444.0
20200910-23,2131366.0
20200911-00,2071224.0
20200911-01,2093506.0
20200911-02,2093199.0
20200911-03,2098952.0
20200911-04,2045813.0
20200911-05,1974134.0
20200911-06,1901756.0
20200911-07,1907866.0
20200911-08,1886689.0
20200911-09,1877534.0
20200911-10,1882887.0
20200911-11,1926765.0
20200911-12,1996800.0
20200911-13,2131251.0
20200911-14,2262681.0
20200911-15,2346357.0
20200911-16,2369045.0
20200911-17,2387345.0
20200911-18,2367963.0
20200911-19,2356639.0
20200911-20,2367382.0
20200911-21,2326945.0
20200911-22,2238420.0
20200911-23,2099002.0
20200912-00,2006090.0
20200912-01,1991673.0
20200912-02,1980929.0
20200912-03,2008070.0
20200912-04,1980756.0
20200912-05,1929996.0
20200912-06,1869057.0
20200912-07,1844113.0
20200912-08,1814047.0
20200912-09,1797249.0
20200912-10,1807334.0
20200912-11,1854142.0
20200912-12,1914521.0
20200912-13,2016839.0
20200912-14,2137081.0
20200912-15,2234537.0
20200912-16,2281555.0
20200912-17,2286066.0
20200912-18,2291546.0
20200912-19,2294650.0
20200912-20,2321258.0
20200912-21,2323719.0
20200912-22,2257235.0
20200912-23,2172903.0
20200913-00,2073775.0
20200913-01,2054346.0
20200913-02,2054541.0
20200913-03,2064353.0
20200913-04,2032670.0
20200913-05,1986486.0
20200913-06,1941494.0
20200913-07,1907174.0
20200913-08,1901859.0
20200913-09,1904565.0
20200913-10,1917928.0
20200913-11,1952960.0
20200913-12,2006380.0
20200913-13,2114774.0
20200913-14,2216575.0
20200913-15,2317099.0
20200913-16,2360796.0
20200913-17,2382913.0
20200913-18,2364523.0
20200913-19,2391701.0
20200913-20,2396541.0
20200913-21,2387811.0
20200913-22,2304204.0
20200913-23,2184655.0
20200914-00,2083646.0
20200914-01,2119934.0
20200914-02,2151849.0
20200914-03,2175466.0
20200914-04,2121692.0
20200914-05,2056860.0
20200914-06,1996233.0
20200914-07,1981370.0
20200914-08,1965403.0
20200914-09,1968755.0
20200914-10,2010317.0
20200914-11,2054487.0
20200914-12,2131081.0
20200914-13,2262662.0
20200914-14,2384649.0
20200914-15,2456175.0
20200914-16,2481054.0
20200914-17,2464383.0
20200914-18,2465267.0
20200914-19,2480903.0
20200914-20,2495943.0
20200914-21,2468147.0
20200914-22,2340003.0
20200914-23,2174006.0
20200915-00,2096329.0
20200915-01,2127792.0
20200915-02,2146375.0
20200915-03,2160201.0
20200915-04,2120665.0
20200915-05,2028921.0
20200915-06,1961929.0
20200915-07,1967228.0
20200915-08,1957612.0
20200915-09,1960673.0
20200915-10,1980811.0
20200915-11,2020527.0
20200915-12,2114017.0
20200915-13,2251992.0
20200915-14,2381412.0
20200915-15,2456391.0
20200915-16,2474165.0
20200915-17,2456042.0
20200915-18,2447547.0
20200915-19,2461227.0
20200915-20,2470175.0
20200915-21,2434834.0
20200915-22,2313336.0
20200915-23,2150511.0
20200916-00,2060240.0
20200916-01,2078750.0
20200916-02,2105539.0
20200916-03,2135242.0
20200916-04,2079851.0
20200916-05,2010978.0
20200916-06,1964683.0
20200916-07,1965237.0
20200916-08,1957200.0
20200916-09,1954364.0
20200916-10,1975138.0
20200916-11,2015496.0
20200916-12,2087573.0
20200916-13,2216115.0
20200916-14,2358313.0
20200916-15,2437946.0
20200916-16,2452136.0
20200916-17,2445121.0
20200916-18,2435646.0
20200916-19,2426427.0
20200916-20,2427236.0
20200916-21,2367561.0
20200916-22,2276133.0
20200916-23,2142269.0
20200917-00,2056541.0
