date_time,request_count
20210301-00,2399179.0
20210301-01,2346931.0
20210301-02,2342230.0
20210301-03,2348433.0
20210301-04,2343163.0
20210301-05,2283745.0
20210301-06,2202551.0
20210301-07,2153426.0
20210301-08,2164727.0
20210301-09,2184302.0
20210301-10,2236040.0
20210301-11,2178328.0
20210301-12,2163016.0
20210301-13,2236802.0
20210301-14,2379541.0
20210301-15,2518114.0
20210301-16,2599891.0
20210301-17,2629149.0
20210301-18,2613005.0
20210301-19,2625982.0
20210301-20,2640610.0
20210301-21,2613357.0
20210301-22,2556878.0
20210301-23,2445239.0
20210302-00,2300718.0
20210302-01,2246480.0
20210302-02,2245825.0
20210302-03,2280011.0
20210302-04,2264023.0
20210302-05,2207900.0
20210302-06,2137099.0
20210302-07,2079681.0
20210302-08,2065988.0
20210302-09,2074309.0
20210302-10,2120455.0
20210302-11,2145133.0
20210302-12,2190774.0
20210302-13,2277903.0
20210302-14,2431408.0
20210302-15,2550097.0
20210302-16,2609637.0
20210302-17,2631396.0
20210302-18,2642949.0
20210302-19,2622704.0
20210302-20,2635050.0
20210302-21,2610590.0
20210302-22,2538138.0
20210302-23,2442480.0
20210303-00,2300313.0
20210303-01,2235360.0
20210303-02,2248149.0
20210303-03,2245687.0
20210303-04,2246318.0
20210303-05,2162854.0
20210303-06,2075960.0
20210303-07,2010611.0
20210303-08,1987236.0
20210303-09,1992112.0
20210303-10,2034342.0
20210303-11,2061538.0
20210303-12,2099705.0
20210303-13,2181162.0
20210303-14,2323429.0
20210303-15,2508601.0
20210303-16,2563369.0
20210303-17,2597990.0
20210303-18,2614286.0
20210303-19,2591724.0
20210303-20,2618508.0
20210303-21,2581354.0
20210303-22,2536509.0
20210303-23,2416467.0
20210304-00,2283764.0
20210304-01,2215437.0
20210304-02,2216121.0
20210304-03,2239586.0
20210304-04,2233660.0
20210304-05,2165128.0
20210304-06,2086829.0
20210304-07,2029581.0
20210304-08,2003525.0
20210304-09,2008213.0
20210304-10,2048917.0
20210304-11,2076834.0
20210304-12,2117658.0
20210304-13,2196351.0
20210304-14,2360138.0
20210304-15,2524613.0
20210304-16,2598123.0
20210304-17,2613152.0
20210304-18,2586246.0
20210304-19,2557880.0
20210304-20,2576303.0
20210304-21,2552965.0
20210304-22,2506652.0
20210304-23,2406576.0
20210305-00,2256311.0
20210305-01,2202719.0
20210305-02,2199570.0
20210305-03,2214119.0
20210305-04,2203580.0
20210305-05,2129881.0
20210305-06,2043161.0
20210305-07,1992727.0
20210305-08,1971356.0
20210305-09,1973943.0
20210305-10,2015780.0
20210305-11,2027006.0
20210305-12,2062385.0
20210305-13,2154367.0
20210305-14,2306004.0
20210305-15,2452641.0
20210305-16,2509154.0
20210305-17,2518636.0
