date_time,request_count
20200401-00,2388014.0
20200401-01,2420495.0
20200401-02,2364916.0
20200401-03,2355184.0
20200401-04,2310488.0
20200401-05,2223707.0
20200401-06,2145223.0
20200401-07,2128259.0
20200401-08,2153489.0
20200401-09,2186405.0
20200401-10,2227288.0
20200401-11,2275117.0
20200401-12,2292315.0
20200401-13,2432209.0
20200401-14,2558963.0
20200401-15,2648260.0
20200401-17,2715449.0
20200401-18,2691238.0
20200401-19,2682782.0
20200401-16,2715828.0
20200401-20,2704268.0
20200401-21,2710616.0
20200401-22,2612494.0
20200401-23,2500705.0
20200402-00,2390460.0
20200402-01,2389811.0
20200402-02,2358309.0
20200402-03,2381942.0
20200402-04,2334770.0
20200402-05,2267761.0
20200402-06,2198004.0
20200402-07,2180063.0
20200402-08,2208302.0
20200402-09,2247747.0
20200402-10,2317149.0
20200402-11,2370207.0
20200402-12,2382791.0
20200402-13,2505404.0
20200402-14,2636528.0
20200402-15,2758747.0
20200402-16,2797896.0
20200402-17,2792739.0
20200402-18,2773520.0
20200402-19,2816255.0
20200402-20,2812321.0
20200402-21,2795321.0
20200402-22,2682563.0
20200402-23,2564383.0
20200403-00,2428570.0
20200403-01,2446754.0
20200403-02,2363208.0
20200403-03,2353023.0
20200403-04,2323369.0
20200403-05,2238802.0
20200403-06,2203126.0
20200403-07,2200435.0
20200403-08,2232308.0
20200403-09,2231959.0
20200403-10,2270478.0
20200403-11,2380697.0
20200403-12,2371729.0
20200403-13,2499768.0
20200403-14,2638011.0
20200403-15,2742839.0
20200403-16,2796649.0
20200403-17,2826446.0
20200403-18,2767721.0
20200403-19,2795972.0
20200403-20,2811422.0
20200403-21,2780650.0
20200403-22,2665845.0
20200403-23,2581188.0
20200404-00,2458188.0
20200404-01,2418946.0
20200404-02,2358808.0
20200404-03,2355521.0
20200404-04,2321113.0
20200404-05,2317421.0
20200404-06,2229690.0
20200404-07,2221299.0
20200404-08,2227496.0
20200404-09,2265773.0
20200404-10,2284188.0
20200404-11,2341586.0
20200404-12,2378699.0
20200404-13,2495160.0
20200404-14,2596842.0
20200404-15,2688650.0
20200404-16,2745643.0
20200404-17,2758558.0
20200404-18,2787261.0
20200404-19,2792707.0
20200404-20,2807926.0
20200404-21,2805060.0
20200404-22,2735809.0
20200404-23,2640109.0
20200405-00,2526624.0
20200405-01,2508113.0
20200405-02,2446453.0
20200405-03,2458734.0
20200405-04,2427337.0
20200405-05,2374330.0
20200405-06,2286978.0
20200405-07,2258084.0
20200405-08,2264497.0
20200405-09,2281034.0
20200405-10,2319725.0
20200405-11,2363120.0
20200405-12,2378403.0
20200405-13,2480172.0
20200405-14,2584900.0
20200405-15,2713833.0
20200405-16,2742350.0
20200405-17,2801673.0
20200405-18,2851172.0
20200405-19,2804644.0
20200405-20,2779561.0
20200405-21,2783040.0
20200405-22,2731134.0
20200405-23,2631639.0
20200406-00,2514188.0
20200406-01,2471346.0
20200406-02,2445597.0
20200406-03,2458375.0
20200406-04,2425945.0
20200406-05,2359662.0
20200406-06,2316677.0
20200406-07,2326050.0
20200406-08,2401752.0
20200406-09,2364388.0
20200406-10,2446597.0
20200406-11,2489819.0
20200406-12,2513073.0
20200406-13,2623165.0
20200406-14,2775123.0
20200406-15,2862806.0
20200406-16,2897770.0
20200406-17,2874880.0
20200406-18,2890899.0
20200406-19,2893803.0
20200406-20,2862098.0
20200406-21,2871757.0
20200406-22,2779059.0
20200406-23,2663130.0
20200407-00,2537512.0
20200407-01,2565300.0
20200407-02,2527523.0
20200407-03,2534075.0
20200407-04,2477049.0
20200407-05,2348279.0
20200407-06,2314365.0
20200407-07,2272713.0
20200407-08,2298442.0
20200407-09,2303560.0
20200407-10,2367523.0
20200407-11,2373976.0
20200407-12,2413828.0
20200407-13,2557021.0
20200407-14,2647137.0
20200407-15,2760110.0
20200407-16,2803102.0
20200407-17,2760050.0
20200407-18,2830159.0
