episode,episode_step,total_reward,mean_reward,loss,mse,mae,mean_q
1,400,236.9192031476864,0.592298007869216,0.014405418799607715, 0.23248086011176092,0.36586911277246964,0.7145664145676827
2,184,128.6598331664519,0.6992382237307169,0.0009179307380691171, 0.4642726182937622,0.5814096331596375,0.8962870240211487
3,272,188.82974584922084,0.694227006798606,0.0009566115913912654, 0.590312659740448,0.6608211398124695,0.9782822728157043
4,328,228.4769138303415,0.6965759567998216,0.0010461262427270412, 0.7427767515182495,0.7430104613304138,1.0821213722229004
5,466,324.69332111971653,0.696766783518705,0.0011945278383791447, 0.9392295479774475,0.8381001949310303,1.209225058555603
6,410,286.9565872952494,0.6998941153542668,0.0011515951482579112, 1.1556367874145508,0.9305249452590942,1.3283268213272095
7,280,195.5246368734358,0.698302274547985,0.001079491339623928, 1.3342084884643555,1.0005429983139038,1.418238878250122
8,306,209.72784523785725,0.6853851151563962,0.001180771505460143, 1.4845527410507202,1.0556694269180298,1.4896601438522339
9,328,223.83383972454624,0.6824202430626409,0.0012907353229820728, 1.6458805799484253,1.111957311630249,1.5629355907440186
10,342,236.75989353917078,0.6922803904654117,0.002192063955590129, 1.803883671760559,1.1655389070510864,1.6320277452468872
11,296,205.95674038572236,0.6957997986004134,0.0026379369664937258, 1.9411852359771729,1.2093509435653687,1.6957261562347412
12,242,165.73925962052607,0.6848729736385375,0.002079856116324663, 2.068190336227417,1.247514247894287,1.7461495399475098
13,184,127.71846392117575,0.6941220865281291,0.0024155513383448124, 2.1640689373016357,1.2775839567184448,1.7864162921905518
14,304,206.72343725261806,0.680011306752033,0.0023694937117397785, 2.262596607208252,1.3054897785186768,1.8229379653930664
15,220,146.79703500397304,0.6672592500180593,0.0025665373541414738, 2.3663856983184814,1.3364057540893555,1.8594794273376465
16,288,191.25336690694718,0.6640741906491221,0.0029599457047879696, 2.4476187229156494,1.3597476482391357,1.8976263999938965
17,380,262.823336301339,0.6916403586877342,0.0028551239520311356, 2.553589105606079,1.3877837657928467,1.9398231506347656
18,444,309.74740214750716,0.6976292841160071,0.0028165504336357117, 2.6871674060821533,1.4237709045410156,1.989845871925354
19,408,285.1027886513776,0.6987813447337686,0.003285639453679323, 2.809067726135254,1.4560983180999756,2.0328590869903564
20,398,274.9158790775177,0.6907434147676323,0.0034627248533070087, 2.9171459674835205,1.4839050769805908,2.072084903717041
21,334,232.0662715380156,0.6948091962216036,0.004198581911623478, 2.997785806655884,1.5047848224639893,2.096616506576538
22,418,289.30359745516483,0.6921138695099637,0.003201389918103814, 3.0693864822387695,1.521422028541565,2.123720407485962
23,384,267.41526102675573,0.696393908923843,0.0029468219727277756, 3.152837038040161,1.5418453216552734,2.1484272480010986
24,430,299.51886977970787,0.6965555111155997,0.0033933722879737616, 3.233562469482422,1.5616470575332642,2.1724252700805664
25,378,264.0381145783478,0.6985135306305498,0.0033265110105276108, 3.2888267040252686,1.574783205986023,2.1928329467773438
26,580,397.375324002052,0.6851298689690553,0.0036544741597026587, 3.3559372425079346,1.590651273727417,2.2117316722869873
27,486,335.97728368648467,0.691311283305524,0.0035956716164946556, 3.42429780960083,1.606884479522705,2.2318167686462402
28,422,286.365859015574,0.6785920829752938,0.003069690428674221, 3.519199848175049,1.6286574602127075,2.2461562156677246
29,432,300.83731001209776,0.6963826620650411,0.0029846029356122017, 3.567558526992798,1.6398489475250244,2.2592110633850098
30,458,318.1975089327631,0.6947543863160767,0.0033133821561932564, 3.6043519973754883,1.6486737728118896,2.2700424194335938
31,528,367.9822705796202,0.696936118522008,0.0032651457004249096, 3.623016834259033,1.652392029762268,2.2815263271331787
32,578,398.0331404673903,0.6886386513276649,0.002980870194733143, 3.6468610763549805,1.6575621366500854,2.2899677753448486
33,466,322.32424136047234,0.6916829213744041,0.003197005484253168, 3.656355381011963,1.6600756645202637,2.2973098754882812
34,558,386.8013634540397,0.693192407623727,0.0029032942838966846, 3.664858818054199,1.6606786251068115,2.301529884338379
35,680,467.94375098015195,0.6881525749708117,0.0028694896027445793, 3.6793901920318604,1.6643946170806885,2.3100643157958984
36,526,357.32050437590925,0.6793165482431734,0.0023221150040626526, 3.6899144649505615,1.666000485420227,2.313067674636841
37,674,454.77520822120505,0.6747406650166247,0.002953127259388566, 3.680772304534912,1.663945198059082,2.313505172729492
38,640,431.94545851815275,0.6749147789346137,0.0026053793262690306, 3.689335584640503,1.6656272411346436,2.31485915184021
39,652,447.00839075443616,0.6855956913411597,0.0021602166816592216, 3.668982744216919,1.660370111465454,2.3131680488586426
40,668,458.1676021418911,0.6858796439249867,0.0024184519425034523, 3.653897523880005,1.6570205688476562,2.311349391937256
41,708,488.83057744151995,0.6904386687027118,0.002023587701842189, 3.650233030319214,1.6553653478622437,2.3125994205474854
42,500,346.4013246660437,0.6928026493320875,0.002019550884142518, 3.6396965980529785,1.6533026695251465,2.312918186187744
43,498,343.75938776347255,0.6902798951073746,0.0016582610551267862, 3.626854658126831,1.6495110988616943,2.312438488006592
44,488,338.00801228952287,0.6926393694457436,0.00255047925747931, 3.6545727252960205,1.657556414604187,2.315664768218994
45,450,309.6862135164125,0.6881915855920279,0.0026024971157312393, 3.6693673133850098,1.6608986854553223,2.3163399696350098
46,548,379.21218491804086,0.6919930381716074,0.002580831525847316, 3.6792781352996826,1.663299322128296,2.3188846111297607
47,470,325.455882746391,0.6924593249923213,0.0025957815814763308, 3.715952157974243,1.6717394590377808,2.3231403827667236
48,560,387.7128120002941,0.6923443071433824,0.0040054298005998135, 3.7240078449249268,1.6746078729629517,2.325263023376465
