good,medium,bad
177,164,59
146,34,4
221,48,3
230,88,10
337,122,7
305,100,5
244,31,5
222,83,1
234,88,6
252,86,4
248,44,4
183,57,2
141,43,0
177,124,3
105,107,8
139,135,14
264,100,16
287,135,22
295,111,2
249,115,34
232,99,3
320,91,7
312,66,6
331,93,6
301,74,3
298,229,53
367,113,6
273,117,32
308,109,15
321,136,1
380,141,7
364,163,51
299,157,10
397,140,21
343,303,34
262,240,24
312,312,50
260,303,77
298,288,66
310,320,38
449,212,47
312,176,12
337,160,1
331,156,1
317,129,4
373,163,12
349,116,5
421,128,11
365,152,3
351,141,28
420,106,20
387,106,21
461,151,12
500,257,53
317,69,10
15,5,0
1,1,0
295,119,6
428,175,1
326,179,57
289,235,56
326,222,2
229,208,5
288,256,20
435,134,9
372,114,30
286,87,7
272,110,16
283,69,2
392,195,23
438,121,83
348,184,26
341,136,21
374,127,21
332,82,54
423,139,26
351,66,3
326,75,1
324,63,1
362,156,28
343,190,91
331,155,48
405,162,7
345,325,32
179,259,98
176,226,44
189,222,15
225,248,39
364,186,26
334,155,13
341,182,13
337,169,10
303,249,22
433,138,47
465,223,42
474,95,3
354,74,0
389,136,13
320,80,0
