server,bus1,bus2,bus3
30,159,93,118,
151,7,22,4,
203,6,54,9,
204,18,72,34,
283,9,102,72,
237,6,105,62,
144,9,62,65,
165,17,69,55,
147,20,96,65,
162,22,96,62,
136,8,82,70,
131,4,63,44,
110,9,43,22,
182,10,68,44,
132,11,54,23,
194,6,54,34,
185,22,88,85,
207,27,105,105,
164,48,107,89,
182,40,99,77,
126,52,84,72,
140,60,100,118,
155,39,104,86,
178,26,124,102,
170,21,102,85,
274,37,147,122,
227,44,120,95,
217,36,90,79,
190,32,105,105,
205,38,122,93,
234,29,138,127,
209,76,165,128,
186,66,119,95,
218,70,145,125,
275,95,173,137,
227,58,139,102,
284,115,160,115,
266,117,161,96,
280,116,156,100,
273,126,165,104,
261,125,170,152,
203,77,135,85,
219,70,130,79,
196,67,131,94,
194,76,112,68,
237,81,127,103,
170,84,110,106,
201,92,145,122,
188,85,128,119,
198,85,133,104,
185,107,146,108,
194,92,120,108,
193,133,149,149,
284,162,177,187,
126,70,104,96,
10,2,3,5,
1,0,0,1,
154,73,99,94,
243,104,138,119,
251,92,121,98,
275,73,132,100,
264,79,119,88,
221,68,94,59,
297,76,123,68,
240,90,134,114,
186,99,129,102,
150,67,83,80,
159,74,89,76,
138,61,89,66,
238,114,138,120,
209,140,157,136,
256,97,115,90,
229,78,100,91,
230,81,107,104,
232,57,105,74,
248,85,129,126,
158,66,93,103,
151,60,87,104,
139,70,82,97,
258,70,108,110,
232,94,180,118,
266,60,90,118,
229,90,129,126,
307,108,162,125,
298,49,105,84,
234,55,93,64,
252,39,77,58,
288,61,85,78,
292,77,104,103,
223,90,87,102,
259,86,98,93,
237,78,98,103,
281,89,102,102,
238,121,97,162,
283,130,160,157,
203,136,104,129,
183,72,97,76,
231,94,120,93,
180,67,92,61,
