good,medium,bad
41,17,692
156,103,288
78,179,526
111,142,383
198,225,168
389,284,133
299,203,193
126,174,263
452,285,136
356,344,210
524,308,115
220,229,166
428,281,132
464,287,86
402,276,314
314,158,447
83,134,562
348,189,279
453,219,228
499,247,156
514,330,117
531,263,89
284,252,555
505,222,107
572,269,85
491,232,86
426,378,231
358,380,329
368,394,265
638,293,170
396,412,243
553,312,153
742,292,148
439,398,258
473,322,191
647,458,253
653,432,167
401,396,208
338,414,272
399,425,275
705,283,131
717,341,136
700,520,191
679,484,186
609,516,332
720,446,163
774,567,272
450,616,389
564,485,227
762,276,109
816,228,97
721,438,93
690,384,128
541,309,186
638,489,331
644,523,370
695,380,175
645,466,327
587,584,301
742,301,146
456,340,288
632,418,312
698,330,133
683,353,142
708,461,198
896,332,151
706,500,157
738,367,145
749,444,112
739,395,131
765,355,191
587,581,264
750,405,179
351,496,245
714,318,260
520,428,443
397,716,441
755,298,129
689,349,196
640,456,230
728,396,169
669,416,222
825,310,135
605,554,238
726,416,138
657,478,204
723,328,133
645,506,307
752,424,270
683,516,308
507,586,354
614,580,243
844,317,187
435,400,206
668,427,192
759,482,294
500,741,390
719,293,138
703,316,292
662,583,286
