server,bus1,bus2,bus3
261,71,86,73,
273,150,182,112,
254,87,141,111,
346,115,132,117,
224,149,218,171,
330,170,185,152,
319,153,208,133,
357,114,154,141,
336,141,164,189,
294,131,150,150,
268,92,231,118,
327,129,159,74,
365,147,163,126,
334,148,231,165,
359,147,147,111,
396,136,169,153,
379,183,275,173,
392,220,279,232,
437,245,311,236,
422,297,349,295,
376,210,223,223,
400,171,226,207,
383,177,321,224,
351,180,176,194,
348,174,195,160,
396,224,259,200,
426,152,234,169,
327,142,259,165,
577,201,345,269,
498,390,269,356,
446,269,389,182,
261,272,310,285,
379,223,452,280,
369,308,258,245,
364,297,335,277,
466,211,254,225,
446,194,357,227,
410,198,280,180,
431,239,273,306,
447,305,361,242,
359,261,336,231,
478,262,344,302,
465,307,277,260,
328,240,370,302,
515,248,280,277,
510,256,245,218,
451,274,324,229,
242,272,327,276,
410,194,262,172,
474,245,327,253,
670,270,396,274,
505,260,277,260,
404,235,296,220,
332,292,313,254,
437,245,312,292,
417,281,337,246,
415,261,361,284,
569,239,365,271,
471,389,398,355,
400,282,409,274,
452,209,327,182,
279,387,318,375,
478,228,307,212,
581,322,456,356,
515,261,174,263,
412,334,420,208,
548,314,321,324,
522,248,357,223,
339,274,306,303,
195,285,417,174,
481,302,318,267,
532,286,420,271,
917,269,289,261,
210,197,396,303,
272,324,279,335,
684,316,420,306,
803,268,397,268,
854,285,403,299,
738,313,272,270,
200,322,314,220,
379,250,313,245,
177,290,298,327,
594,324,396,333,
376,325,321,245,
708,182,305,279,
621,388,397,205,
651,273,266,347,
630,147,378,205,
642,380,268,236,
935,281,408,376,
772,283,278,271,
716,393,285,168,
429,273,405,389,
980,161,407,156,
264,344,354,387,
363,351,340,158,
385,196,354,361,
701,387,391,265,
435,207,327,218,
294,302,345,301,
