good,medium,bad
238,212,41
193,242,282
226,272,95
213,215,282
190,283,289
190,335,312
208,292,313
204,282,280
177,304,349
160,282,283
147,225,337
200,225,264
123,286,392
122,383,373
92,267,405
150,274,430
154,290,566
132,257,734
56,166,1007
14,48,1301
105,213,714
126,240,638
121,249,735
106,215,580
187,314,376
136,242,701
122,257,602
85,209,599
132,246,1014
3,11,1499
6,23,1257
11,22,1095
14,39,1281
25,25,1130
54,130,1089
80,182,894
36,83,1105
95,181,792
48,150,1051
63,137,1155
16,16,1155
10,49,1327
14,31,1264
57,74,1109
6,18,1296
14,21,1194
22,42,1214
51,129,937
126,213,699
109,223,967
7,11,1592
4,11,1287
18,29,1108
21,42,1128
38,91,1157
25,74,1182
36,91,1194
20,37,1387
11,46,1556
11,31,1323
1,21,1148
6,38,1315
3,15,1207
2,11,1702
5,8,1200
9,15,1350
3,10,1494
5,19,1326
5,14,1203
17,41,1013
81,125,1162
7,13,1489
4,10,1722
13,33,1060
9,33,1168
8,28,1690
4,17,1715
7,16,1818
4,12,1577
14,34,1008
4,18,1165
15,35,1042
9,26,1612
6,30,1231
0,9,1465
3,14,1594
0,11,1526
0,12,1348
1,14,1511
5,14,1981
4,15,1585
4,13,1545
4,21,1471
8,10,1686
13,30,1306
19,29,1164
7,14,1275
5,14,1725
6,34,1147
4,22,1216
