server,bus1,bus2,bus3
249,10,101,40,
135,4,6,39,
212,4,5,51,
239,9,23,57,
351,17,22,76,
276,25,24,85,
174,29,27,50,
196,30,28,52,
231,24,25,48,
245,14,19,64,
186,30,6,74,
181,30,5,26,
157,4,12,11,
254,8,17,25,
194,9,6,11,
249,8,13,18,
233,41,39,67,
241,50,70,83,
265,30,58,55,
276,33,44,45,
199,40,41,54,
219,44,84,71,
207,45,88,44,
229,69,73,59,
233,25,73,47,
345,47,102,86,
309,33,83,61,
253,27,85,57,
227,67,72,66,
256,40,91,71,
288,69,99,72,
373,48,74,83,
314,31,70,51,
331,68,70,89,
415,77,97,91,
370,32,75,49,
480,48,89,57,
465,52,75,48,
457,54,88,53,
422,67,114,65,
356,98,146,108,
305,44,96,55,
300,50,108,40,
252,53,117,66,
223,46,129,52,
314,59,109,66,
236,88,90,56,
286,77,124,73,
301,62,97,60,
314,60,85,61,
312,67,109,58,
300,73,76,65,
339,93,109,83,
437,105,163,105,
201,56,72,67,
9,2,9,0,
2,0,0,0,
227,60,79,54,
320,81,118,85,
339,59,112,52,
378,50,101,51,
346,52,110,42,
290,36,87,29,
374,51,102,37,
334,71,92,81,
267,63,94,92,
247,30,60,43,
257,42,43,56,
230,46,32,46,
375,71,99,65,
327,89,100,126,
335,69,89,65,
285,66,99,48,
289,57,116,60,
235,56,115,62,
320,69,131,68,
184,40,116,80,
170,63,99,70,
170,47,87,84,
296,57,116,77,
307,77,133,107,
301,70,94,69,
322,65,85,102,
420,90,118,74,
364,57,76,39,
331,37,55,23,
329,29,48,20,
395,44,41,32,
383,51,76,66,
301,56,91,54,
308,79,83,66,
302,69,83,62,
388,66,68,52,
308,92,130,88,
398,108,114,110,
238,64,153,117,
213,68,74,73,
276,85,99,78,
217,49,71,63,
