good,medium,bad
61,31,658
64,46,437
66,94,623
65,73,498
287,147,157
226,158,422
422,155,118
276,179,108
320,220,333
48,13,849
38,10,899
82,79,454
19,87,735
16,116,705
7,114,871
23,52,844
80,127,572
103,162,551
103,200,597
79,181,642
164,325,472
256,387,240
281,265,545
308,274,252
345,284,297
284,252,273
264,287,484
138,286,643
139,206,682
195,301,605
43,48,960
204,244,570
30,28,1124
45,132,918
331,334,321
117,534,707
146,485,621
211,268,526
98,406,520
292,491,316
445,399,275
324,498,372
101,681,629
209,502,638
38,402,1017
57,381,891
58,307,1248
53,303,1099
74,352,850
50,315,782
63,319,759
102,407,743
316,308,578
235,383,418
320,445,693
49,344,1144
91,207,952
177,377,884
171,391,910
203,602,384
326,458,300
284,586,492
198,667,296
244,588,346
250,689,428
284,666,429
276,510,577
312,292,646
12,64,1229
32,70,1163
107,361,843
203,342,887
139,445,750
189,489,414
191,551,550
140,545,706
156,571,827
197,540,445
216,477,541
199,555,572
209,562,522
170,538,599
173,613,484
163,576,658
105,624,551
93,631,615
88,589,507
57,657,744
79,483,884
41,660,806
125,533,789
96,570,771
100,609,639
231,472,338
183,585,519
96,689,750
66,670,895
206,517,427
220,504,587
96,699,736
