count,reward,mean_reward
490,309.68148968837926,0.6320030401803658
486,331.859786036687,0.682839065919109
532,335.6624473448488,0.6309444498963322
654,432.58610794320225,0.6614466482311961
624,422.5022519586326,0.6770869422413984
584,389.0265482422045,0.6661413497298022
462,311.67060886813056,0.6746117075067761
844,543.7578392934818,0.6442628427647888
852,523.4964374142834,0.6144324382796753
732,489.7512583522112,0.6690590961095781
680,441.98148252442223,0.649972768418268
708,409.08312797417415,0.5778010282121103
474,324.08771064619816,0.6837293473548485
694,434.89887466588806,0.6266554389998387
646,439.76848608828845,0.6807561704153072
612,363.80905388772896,0.5944592383786421
686,462.22052217104874,0.6737908486458436
782,445.7766628048066,0.5700468833821056
880,521.367360996612,0.5924629102234227
762,483.8743187263644,0.6350056676199007
948,586.6813589470144,0.6188621929820827
778,509.16821824703146,0.6544578640707345
740,437.70093235964737,0.5914877464319559
910,564.4181318250933,0.6202397053023003
916,553.0292271333091,0.6037436977437872
760,481.55184298265647,0.6336208460298112
792,509.3511651933937,0.6431201580724668
766,477.5392888868298,0.6234194371890729
800,453.0699437261972,0.5663374296577465
618,406.58632977566236,0.6579066824848906
860,563.025181846757,0.6546804440078571
966,517.7425789453075,0.5359654026348939
926,534.369267202613,0.5770726427674006
862,474.8071933707679,0.5508204099428862
724,369.40348385490313,0.5102258064294242
958,413.5883473181313,0.4317206130669429
810,502.96450087861666,0.6209438282452058
826,521.3603820879903,0.6311869032542256
1026,526.0889364449522,0.5127572479970295
1004,535.9463761806713,0.5338111316540551
1284,472.89463335916855,0.3682980010585425
1044,531.7279038309238,0.5093179155468619
896,564.9097506193617,0.6304796323876805
904,509.73372041439376,0.5638647349716746
1072,600.2741621281052,0.559957240791143
1082,502.04843830214924,0.46400040508516566
1268,534.9449495003897,0.42188087500030735
1134,601.5068710568077,0.5304293395562678
1018,585.3754053306604,0.5750249561204916
1064,601.0481773551328,0.5648949035292602
740,392.2372332602668,0.5300503152165768
842,370.87262922492823,0.44046630549278887
1134,600.7506314040177,0.5297624615555712
1132,598.3531182124378,0.5285804931205281
1394,456.80138715755976,0.3276910955219223
1166,585.5319057719661,0.5021714457735558
1028,575.4748333428794,0.559800421539766
756,452.0152542303358,0.5979037754369522
940,439.2857797808632,0.46732529763921615
1116,563.9106958903521,0.5052963224823944
1104,444.2418511704265,0.4023929811326327
1084,568.7604374770008,0.5246867504400377
868,532.6722484383085,0.6136777055740882
642,390.6366468326416,0.6084682972471053
532,368.42232802737743,0.6925231729837922
610,415.9075459634475,0.6818156491204057
842,515.2418714187099,0.6119262130863539
876,543.273097841515,0.6201747692254738
228,157.5723170459161,0.6911066537101583
1060,534.5121132662113,0.5042567106285012
1366,543.0425390462311,0.3975421222886026
1018,539.9545120264247,0.5304071827371559
1272,583.0174229161123,0.45834703059442794
1090,484.95343379379955,0.44491140715027483
1280,566.2822756469428,0.4424080278491741
1374,493.69437337549846,0.3593117710156466
1296,461.8913779623338,0.35639766818081314
1460,429.48949538745717,0.294170887251683
1462,526.2574256961647,0.35995719951858046
1466,445.2322012316758,0.3037054578660817
1298,461.3412547291724,0.3554246954770204
1552,489.62244575080217,0.3154783799940736
1282,603.6173857674601,0.4708403945143994
1236,496.32439559957226,0.40155695436858596
1158,465.06043945736934,0.40160659711344504
1240,480.96262592981765,0.3878730854272723
1304,559.3740180767339,0.428967805273569
1230,519.5985266953071,0.4224378265815505
1324,514.3598022186425,0.3884892766001831
1340,452.7037557386663,0.3378386236855719
1070,597.0085554101942,0.5579519209441067
1082,531.5701336427214,0.4912847815551954
1190,553.285247347433,0.46494558600624625
494,268.4619730447946,0.5434452895643616
894,487.2052986533828,0.54497236985837
1188,554.5488655714993,0.4667919743867839
1184,582.4495655062542,0.49193375465055256
1114,656.6097248919219,0.5894162701004685
1252,599.0207816309551,0.4784511035391015
1516,494.68533705170296,0.3263095890842368
