server,bus1,bus2,bus3
276,124,0,0,
146,38,0,0,
249,23,0,0,
302,26,0,0,
427,39,0,0,
371,39,0,0,
242,38,0,0,
270,36,0,0,
280,48,0,0,
305,37,0,0,
240,56,0,0,
209,33,0,0,
170,14,0,0,
275,29,0,0,
198,22,0,0,
268,20,0,0,
304,76,0,0,
370,74,0,0,
360,48,0,0,
355,43,0,0,
274,60,0,0,
343,75,0,0,
326,58,0,0,
330,100,0,0,
334,44,0,0,
512,68,0,0,
429,57,0,0,
379,43,0,0,
338,94,0,0,
404,54,0,0,
438,90,0,0,
490,88,0,0,
424,42,0,0,
481,77,0,0,
595,85,0,0,
492,34,0,0,
629,45,0,0,
589,51,0,0,
592,60,0,0,
611,57,0,0,
584,124,0,0,
447,53,0,0,
453,45,0,0,
422,66,0,0,
409,41,0,0,
469,79,0,0,
368,102,0,0,
487,73,0,0,
460,60,0,0,
462,58,0,0,
484,62,0,0,
434,80,0,0,
499,125,0,0,
670,140,0,0,
318,78,0,0,
15,5,0,0,
2,0,0,0,
352,68,0,0,
505,99,0,0,
495,67,0,0,
521,59,0,0,
509,41,0,0,
419,23,0,0,
520,44,0,0,
501,77,0,0,
428,88,0,0,
343,37,0,0,
349,49,0,0,
300,54,0,0,
504,106,0,0,
505,137,0,0,
467,91,0,0,
424,74,0,0,
457,65,0,0,
392,76,0,0,
502,86,0,0,
341,79,0,0,
341,61,0,0,
313,75,0,0,
480,66,0,0,
529,95,0,0,
465,69,0,0,
475,99,0,0,
617,85,0,0,
487,49,0,0,
410,36,0,0,
396,30,0,0,
483,29,0,0,
493,83,0,0,
398,104,0,0,
474,62,0,0,
442,74,0,0,
527,47,0,0,
510,108,0,0,
597,133,0,0,
461,111,0,0,
346,82,0,0,
462,76,0,0,
332,68,0,0,
