good,medium,bad
329,61,10
183,1,0
269,3,0
310,18,0
449,17,0
391,19,0
274,6,0
287,19,0
306,21,1
322,20,0
283,13,0
228,14,0
174,10,0
276,28,0
195,25,0
262,24,2
346,33,1
415,29,0
390,18,0
365,33,0
315,17,2
399,19,0
368,16,0
406,23,1
369,9,0
500,71,9
455,31,0
369,49,4
403,29,0
437,20,1
501,27,0
504,62,12
435,31,0
515,40,3
586,94,0
458,66,2
547,121,6
508,122,10
519,128,5
550,113,5
584,102,22
456,40,4
480,18,0
462,26,0
429,21,0
516,32,0
449,19,2
522,36,2
497,23,0
481,36,3
516,27,3
466,47,1
583,40,1
695,107,8
367,28,1
20,0,0
2,0,0
392,28,0
569,35,0
452,69,41
456,94,30
501,49,0
414,28,0
494,64,6
550,28,0
456,51,9
362,14,4
349,49,0
340,14,0
535,75,0
548,79,15
487,70,1
432,63,3
468,54,0
381,68,19
535,46,7
407,13,0
388,14,0
379,9,0
501,45,0
497,67,60
471,59,4
532,40,2
609,85,8
464,69,3
392,49,5
386,40,0
467,45,0
528,47,1
462,39,1
485,51,0
464,48,4
499,74,1
547,62,9
647,77,6
547,24,1
406,22,0
491,45,2
382,18,0
