server,bus1,bus2,bus3
37,119,193,51,
44,64,71,5,
112,64,82,14,
148,60,109,11,
199,95,123,49,
204,59,120,27,
142,40,80,18,
172,47,64,23,
178,54,82,14,
179,57,86,20,
150,52,87,7,
117,49,67,9,
95,26,54,9,
158,43,76,27,
134,25,45,16,
189,38,51,10,
188,78,102,12,
190,86,128,40,
188,85,119,16,
197,82,112,7,
140,81,97,16,
173,101,128,16,
165,84,127,8,
189,112,118,11,
179,86,108,5,
241,210,117,12,
246,129,72,39,
235,86,86,15,
208,89,116,19,
232,86,121,19,
245,135,135,13,
256,142,158,22,
246,79,131,10,
245,130,143,40,
272,138,168,102,
206,124,132,64,
261,161,159,93,
257,128,171,84,
265,138,182,67,
294,132,170,72,
304,142,210,52,
214,92,146,48,
235,89,132,42,
209,86,148,45,
190,85,118,57,
223,107,135,83,
186,107,105,72,
215,107,142,96,
234,99,112,75,
214,107,124,75,
230,120,135,61,
232,98,129,55,
230,145,171,78,
304,191,216,99,
160,90,97,49,
11,2,5,2,
1,0,1,0,
175,86,113,46,
229,135,153,87,
255,116,126,65,
231,127,153,69,
247,108,145,50,
203,85,111,43,
278,106,129,51,
248,113,161,56,
188,102,146,80,
175,67,106,32,
160,86,108,44,
164,57,99,34,
245,118,166,81,
225,140,144,133,
223,140,136,59,
234,86,122,56,
234,98,124,66,
228,63,111,66,
271,110,142,65,
197,73,118,32,
174,76,123,29,
178,66,116,28,
254,101,137,54,
240,116,199,69,
229,151,105,49,
225,123,137,89,
296,140,164,102,
289,79,94,74,
244,67,78,57,
266,55,64,41,
298,65,81,68,
303,86,125,62,
242,83,115,62,
263,101,110,62,
261,79,121,55,
294,100,111,69,
260,132,137,89,
305,148,170,107,
257,111,147,57,
188,85,102,53,
242,100,133,63,
196,67,96,41,
