server,bus1,bus2,bus3
452,42,54,85,
476,56,145,183,
463,92,132,86,
445,93,121,111,
300,152,180,32,
232,133,134,102,
174,107,135,42,
178,192,173,115,
619,57,74,71,
478,71,105,92,
362,130,151,102,
222,172,183,172,
367,27,63,39,
326,45,89,50,
218,73,98,100,
397,33,76,41,
372,50,81,57,
261,66,102,56,
335,62,75,54,
216,145,163,150,
333,86,93,71,
150,95,77,73,
258,73,114,74,
171,134,125,99,
369,86,47,95,
340,85,113,90,
184,104,114,112,
315,50,64,66,
314,88,140,88,
249,38,81,54,
284,96,115,89,
271,70,62,83,
331,52,51,52,
192,132,112,144,
153,165,163,178,
133,58,125,87,
375,35,48,42,
358,25,25,25,
175,54,134,77,
465,41,33,33,
256,54,54,78,
227,44,83,55,
171,77,141,90,
173,102,153,88,
233,32,94,51,
180,105,165,106,
278,118,138,113,
190,43,85,68,
206,31,94,61,
227,50,146,77,
107,36,94,44,
139,29,104,55,
96,96,92,93,
140,105,149,140,
232,66,63,51,
191,28,48,35,
111,51,53,88,
235,62,67,62,
186,52,66,59,
253,42,80,43,
186,45,59,33,
152,59,88,69,
190,15,43,35,
225,32,73,36,
158,42,84,34,
92,75,116,79,
162,36,70,32,
230,28,68,48,
300,55,134,56,
174,95,149,108,
264,85,160,67,
234,38,108,57,
270,23,129,64,
183,26,108,48,
155,57,110,73,
171,36,110,66,
226,72,104,108,
183,53,108,62,
154,59,109,85,
228,36,67,49,
231,33,88,52,
216,34,84,58,
141,40,97,75,
250,27,79,50,
367,26,42,49,
238,74,121,57,
379,48,54,24,
193,90,83,57,
