good,medium,bad
518,107,8
789,70,1
714,59,0
615,135,20
599,64,1
464,131,6
434,23,1
304,302,52
721,99,1
602,140,4
583,146,16
345,330,74
415,81,0
316,189,5
187,285,17
327,219,1
528,32,0
432,49,4
465,61,0
362,293,19
481,102,0
339,56,0
423,90,6
359,164,6
528,67,2
466,144,18
249,216,49
430,64,1
539,91,0
374,47,1
470,113,1
420,66,0
427,59,0
359,149,72
253,269,137
238,155,10
424,76,0
369,64,0
256,183,1
473,98,1
420,22,0
301,108,0
261,198,20
321,186,9
374,36,0
334,217,5
508,139,0
375,11,0
364,28,0
433,65,2
272,9,0
311,16,0
310,58,9
370,123,41
381,31,0
231,70,1
229,73,1
395,31,0
345,18,0
329,89,0
219,104,0
216,145,7
211,70,2
259,106,1
302,16,0
306,49,7
267,33,0
350,24,0
473,71,1
370,141,15
457,94,25
391,46,0
451,35,0
345,20,0
290,101,4
345,38,0
464,40,6
383,23,0
384,23,0
335,45,0
372,32,0
316,75,1
332,21,0
375,31,0
362,120,2
157,304,29
336,168,1
133,272,18
