good,medium,bad
217,138,45
154,29,1
235,37,0
281,45,2
386,78,2
318,90,2
257,22,1
194,112,0
243,81,4
239,102,1
225,69,2
175,67,0
130,54,0
173,131,0
108,103,9
139,144,5
268,104,8
376,68,0
310,96,2
289,101,8
293,41,0
353,62,3
333,49,2
338,92,0
333,45,0
422,141,17
340,143,3
265,131,26
332,95,5
332,122,4
464,64,0
385,159,34
392,74,0
507,51,0
510,167,3
388,134,4
479,182,13
263,294,83
464,178,10
312,311,45
600,103,5
331,160,9
325,171,2
338,149,1
407,43,0
366,164,18
326,135,9
439,110,11
373,136,11
345,132,43
409,113,24
450,64,0
474,137,13
491,255,64
326,63,7
18,2,0
1,1,0
304,112,4
552,51,1
424,103,35
415,155,10
446,104,0
240,200,2
280,256,28
541,37,0
375,117,24
278,95,7
333,65,0
287,66,1
523,86,1
435,148,59
354,188,16
347,135,16
360,141,21
320,104,44
439,133,16
364,54,2
338,62,2
328,59,1
381,146,19
374,168,82
365,97,72
516,57,1
512,183,7
383,144,9
189,223,34
345,80,1
373,136,3
492,81,3
444,58,0
451,85,0
451,63,2
440,131,3
542,66,10
625,103,2
538,32,2
410,18,0
480,57,1
304,95,1
