good,medium,bad
625,101,24
500,35,12
752,31,0
599,36,1
565,25,1
696,107,3
648,47,0
516,46,1
668,122,83
726,90,94
843,100,4
529,76,10
676,130,35
702,111,24
609,171,212
653,93,173
611,91,77
728,63,25
682,174,44
711,180,11
798,163,0
739,78,66
608,186,297
733,92,9
820,103,3
701,100,8
779,232,24
622,251,194
736,206,85
644,285,172
768,218,65
794,164,60
746,341,95
750,238,107
791,179,16
604,459,295
616,460,176
732,234,39
630,356,38
715,297,87
782,230,107
696,353,145
708,512,191
676,241,432
498,488,471
780,393,156
770,544,299
487,601,367
609,441,226
734,213,200
828,216,97
764,381,107
766,292,144
803,189,44
716,455,287
625,545,367
703,377,170
646,522,270
607,594,271
735,329,125
635,168,281
489,446,427
707,329,125
686,371,121
727,437,203
916,304,159
694,511,158
758,356,136
725,443,137
743,395,127
781,354,176
642,554,236
647,331,356
777,215,100
705,338,249
535,467,389
353,687,514
764,309,109
700,334,200
597,502,227
726,390,177
680,408,219
831,310,129
671,513,213
758,380,142
667,297,375
540,305,339
661,506,291
737,447,262
679,529,299
477,570,400
599,617,221
791,369,188
762,204,75
730,394,163
724,320,491
9,151,1471
583,265,302
755,261,295
531,368,632
