good,medium,bad
651,93,6
512,35,0
747,36,0
612,24,0
572,19,0
729,77,0
668,27,0
541,22,0
695,157,21
814,76,20
854,89,4
540,72,3
707,125,9
691,141,5
696,224,72
643,172,104
628,117,34
745,58,13
710,166,24
761,131,10
828,130,3
749,97,37
695,241,155
732,100,2
866,58,2
748,60,1
849,179,7
647,305,115
769,215,43
747,293,61
825,218,8
841,152,25
781,345,56
793,262,40
808,177,1
634,504,220
668,485,99
743,255,7
651,348,25
734,334,31
766,259,94
707,390,97
780,516,115
806,426,117
741,421,295
870,398,61
832,518,263
648,492,315
716,431,129
867,238,42
846,227,68
804,400,48
705,391,106
836,181,19
727,324,407
683,507,347
812,367,71
740,431,267
787,512,173
777,367,45
677,283,124
665,304,393
779,349,33
716,371,91
848,415,104
934,287,158
832,468,63
809,325,116
819,410,76
820,356,89
865,259,187
743,493,196
775,426,133
861,217,14
785,280,227
613,508,270
735,628,191
927,227,28
746,336,152
707,490,129
753,362,178
717,380,210
946,280,44
683,442,272
768,375,137
656,478,205
731,356,97
649,496,313
800,353,293
818,420,269
644,540,263
791,525,121
822,412,114
823,179,39
770,373,144
874,294,367
712,540,379
845,232,73
738,210,363
785,406,340
