number_of_server,distance,server_0,server_1,server_2,server_3,reward
2,0.2886688012785054,0.0,0.0,0.5510643543999152,0.0,0.75125
2,0.2886688012785054,0.0,0.0,0.9710643543999152,0.0,0.75125
2,0.2886688012785054,0.0,0.0,1.3918976877332485,0.0,0.45421958740904267
2,0.2886688012785054,0.0,0.0,0.8143976877332486,0.0,0.75125
2,0.2886688012785054,0.0,0.0,0.55545181510774,0.0,0.75125
2,0.2886688012785054,0.0,0.0,0.9796184817744067,0.0,0.75125
2,0.2886688012785054,0.0,0.0,1.4046184817744067,0.0,0.45130563139462876
2,0.2886688012785054,0.0,0.0,0.8379518151077401,0.0,0.75125
2,0.2886688012785054,0.0,0.0,1.2729518151077401,0.0,0.554695834970693
2,0.2886688012785054,0.0,0.0,1.7079518151077402,0.0,0.23558392916566775
2,0.2886688012785054,0.0,0.0,2.1429518151077405,0.0,0.00125
2,0.2886688012785054,0.0,0.0,2.5779518151077405,0.0,0.00125
2,0.2886688012785054,0.0,0.0,2.013785148441074,0.0,0.016072311310396544
2,0.2886688012785054,0.0,0.0,2.4496184817744076,0.0,0.00125
2,0.2886688012785054,0.0,0.0,2.885451815107741,0.0,0.00125
2,0.2886688012785054,0.0,0.0,3.3212851484410746,0.0,0.00125
2,0.2886688012785054,0.0,0.0,1.7579518151077413,0.0,0.2133873817598824
2,0.2886688012785054,0.0,0.0,2.197118481774408,0.0,0.00125
2,0.2886688012785054,0.0,0.0,2.637118481774408,0.0,0.00125
2,0.2886688012785054,0.0,0.0,3.077118481774408,0.0,0.00125
2,0.2886688012785054,0.0,0.0,2.518785148441075,0.0,0.00125
2,0.2886688012785054,0.0,0.0,2.9604518151077417,0.0,0.00125
0,0,0.11844444444444445,0.0,2.9604518151077417,0.0,0.75125
2,0.2886688012785054,0.11844444444444445,0.0,3.407951815107742,0.0,0.00125
2,0.2886688012785054,0.0,0.0,2.856285148441075,0.0,0.00125
2,0.2886688012785054,0.0,0.0,3.3071184817744084,0.0,0.00125
2,0.2886688012785054,0.0,0.0,3.760451815107742,0.0,0.00125
2,0.2886688012785054,0.0,0.0,4.2162851484410755,0.0,0.00125
0,0,0.12222222222222223,0.0,3.2162851484410755,0.0,0.75125
0,0,0.2446666666666667,0.0,3.2162851484410755,0.0,0.75125
0,0,0.3673333333333334,0.0,3.2162851484410755,0.0,0.75125
0,0,0.12333333333333335,0.0,0.0,0.0,0.75125
0,0,0.24800000000000003,0.0,0.0,0.0,0.75125
0,0,0.12466666666666668,0.0,0.0,0.0,0.75125
0,0,0.12533333333333332,0.0,0.0,0.0,0.75125
0,0,0.12555555555555553,0.0,0.0,0.0,0.75125
0,0,0.25111111111111106,0.0,0.0,0.0,0.75125
0,0,0.12644444444444444,0.0,0.0,0.0,0.75125
0,0,0.2528888888888889,0.0,0.0,0.0,0.75125
0,0,0.37955555555555553,0.0,0.0,0.0,0.75125
0,0,0.12666666666666665,0.0,0.0,0.0,0.75125
0,0,0.254,0.0,0.0,0.0,0.75125
0,0,0.38155555555555554,0.0,0.0,0.0,0.75125
0,0,0.5093333333333333,0.0,0.0,0.0,0.75125
0,0,0.12844444444444444,0.0,0.0,0.0,0.75125
0,0,0.1288888888888889,0.0,0.0,0.0,0.75125
0,0,0.2577777777777778,0.0,0.0,0.0,0.75125
3,0.40853964698567585,0.2577777777777778,0.0,0.0,0.7886343028507578,0.75125
0,0,0.12933333333333333,0.0,0.0,0.0,0.75125
0,0,0.25911111111111107,0.0,0.0,0.0,0.75125
0,0,0.1302222222222222,0.0,0.0,0.0,0.75125
0,0,0.26088888888888884,0.0,0.0,0.0,0.75125
0,0,0.3915555555555555,0.0,0.0,0.0,0.75125
0,0,0.5228888888888888,0.0,0.0,0.0,0.75125
0,0,0.6553333333333333,0.0,0.0,0.0,0.75125
0,0,0.7886666666666666,0.0,0.0,0.0,0.75125
0,0,0.9219999999999999,0.0,0.0,0.0,0.75125
0,0,0.13466666666666666,0.0,0.0,0.0,0.75125
1,0.3955052664624298,0.13466666666666666,0.8139281322447602,0.0,0.0,0.75125
0,0,0.13555555555555554,0.0,0.0,0.0,0.75125
0,0,0.13644444444444445,0.0,0.0,0.0,0.75125
0,0,0.2733333333333333,0.0,0.0,0.0,0.75125
0,0,0.41088888888888886,0.0,0.0,0.0,0.75125
0,0,0.13777777777777778,0.0,0.0,0.0,0.75125
0,0,0.13866666666666666,0.0,0.0,0.0,0.75125
0,0,0.27755555555555556,0.0,0.0,0.0,0.75125
0,0,0.4171111111111111,0.0,0.0,0.0,0.75125
0,0,0.5568888888888889,0.0,0.0,0.0,0.75125
1,0.3850777620438329,0.5568888888888889,0.8287223515483414,0.0,0.0,0.75125
0,0,0.6975555555555555,0.8287223515483414,0.0,0.0,0.75125
0,0,0.8384444444444443,0.8287223515483414,0.0,0.0,0.75125
0,0,0.1411111111111111,0.0,0.0,0.0,0.75125
1,0.3824708859391837,0.1411111111111111,0.8345921461544853,0.0,0.0,0.75125
0,0,0.2831111111111111,0.8345921461544853,0.0,0.0,0.75125
0,0,0.14244444444444446,0.0,0.0,0.0,0.75125
0,0,0.14244444444444446,0.0,0.0,0.0,0.75125
0,0,0.28555555555555556,0.0,0.0,0.0,0.75125
0,0,0.14377777777777778,0.0,0.0,0.0,0.75125
1,0.37204338152058686,0.14377777777777778,0.8421260283134419,0.0,0.0,0.75125
0,0,0.14400000000000002,0.0,0.0,0.0,0.75125
0,0,0.14466666666666667,0.0,0.0,0.0,0.75125
0,0,0.14466666666666667,0.0,0.0,0.0,0.75125
0,0,0.14622222222222223,0.0,0.0,0.0,0.75125
3,0.3564021248926915,0.0,0.0,0.0,0.8462909790014963,0.75125
0,0,0.1468888888888889,0.0,0.0,0.0,0.75125
0,0,0.14800000000000002,0.0,0.0,0.0,0.75125
0,0,0.14866666666666667,0.0,0.0,0.0,0.75125
0,0,0.14866666666666667,0.0,0.0,0.0,0.75125
0,0,0.15044444444444446,0.0,0.0,0.0,0.75125
0,0,0.15066666666666667,0.0,0.0,0.0,0.75125
3,0.338153992160147,0.15066666666666667,0.0,0.0,0.8608590525421265,0.75125
0,0,0.15222222222222223,0.0,0.0,0.0,0.75125
0,0,0.3046666666666667,0.0,0.0,0.0,0.75125
0,0,0.4575555555555556,0.0,0.0,0.0,0.75125
0,0,0.1531111111111111,0.0,0.0,0.0,0.75125
0,0,0.3073333333333333,0.0,0.0,0.0,0.75125
1,0.3303333638461994,0.3073333333333333,0.868961491605396,0.0,0.0,0.75125
2,0.3303333638461994,0.3073333333333333,0.868961491605396,0.7546511155713294,0.0,0.75125
1,0.2886688012785054,0.0,0.8504296603630042,0.0,0.0,0.75125
0,0,0.15533333333333332,0.0,0.0,0.0,0.75125
3,0.3146921072183041,0.0,0.0,0.0,0.8702524225964734,0.75125
0,0,0.1562222222222222,0.0,0.0,0.8702524225964734,0.75125
0,0,0.15644444444444444,0.0,0.0,0.0,0.75125
0,0,0.3131111111111111,0.0,0.0,0.0,0.75125
0,0,0.47,0.0,0.0,0.0,0.75125
0,0,0.6273333333333333,0.0,0.0,0.0,0.75125
2,0.301657726695058,0.0,0.0,0.7558941127532256,0.0,0.75125
0,0,0.15844444444444444,0.0,0.0,0.0,0.75125
