server,bus1,bus2,bus3
669,27,29,25,
501,14,15,17,
690,34,31,28,
581,27,12,16,
523,22,32,14,
728,28,24,26,
620,22,31,22,
516,11,20,16,
769,31,46,27,
838,23,19,30,
839,38,40,30,
554,17,24,20,
766,23,31,21,
746,26,43,22,
863,45,45,39,
747,66,49,57,
653,33,54,39,
727,43,30,16,
810,29,38,23,
802,25,37,38,
865,31,43,22,
755,47,47,34,
905,51,69,66,
753,19,37,25,
846,23,28,29,
727,29,26,27,
890,44,53,48,
865,66,90,46,
882,37,50,58,
913,57,72,59,
933,33,48,37,
863,48,58,49,
999,43,82,58,
946,47,61,41,
888,33,35,30,
1070,100,110,78,
1048,75,67,62,
892,43,43,27,
866,43,68,47,
947,50,53,49,
951,52,58,58,
981,78,72,63,
1168,69,98,76,
1108,74,97,70,
1152,91,103,111,
1101,86,72,70,
1220,128,139,126,
1115,93,135,112,
1012,75,88,101,
973,45,75,54,
974,46,65,56,
1030,65,78,79,
971,74,78,79,
891,45,62,38,
1091,102,154,111,
1211,92,116,118,
1067,70,67,46,
1125,106,107,100,
1171,96,106,99,
1027,54,64,44,
889,66,65,64,
1029,95,136,102,
1007,61,63,30,
993,62,62,61,
1126,64,99,78,
1132,71,85,91,
1139,75,82,67,
1027,73,81,69,
1080,76,66,83,
1050,57,80,78,
1064,71,98,78,
1147,89,97,99,
1113,67,87,67,
939,51,63,39,
1018,91,92,91,
1076,90,124,101,
1210,80,140,124,
1006,62,60,54,
970,80,103,81,
1082,76,96,72,
1042,78,90,83,
1007,91,97,112,
1073,63,90,44,
1086,86,130,95,
1068,62,81,69,
1059,86,93,101,
1034,59,51,40,
1115,105,113,125,
1144,86,118,98,
1188,106,101,112,
1108,108,130,101,
1153,86,103,95,
1143,71,70,64,
906,34,57,44,
1045,86,83,73,
1191,114,114,116,
1245,108,155,123,
955,63,72,60,
995,111,104,101,
1231,89,113,98,
